		1.0	2.0
Gender	N	716	1865
Gender	i	(1.0, 2.0)	(1.0, 2.0)
Gender	N(i)	(226, 490)	(838, 1027)
Gender	%	(0.31564245810055863, 0.6843575418994413)	(0.44932975871313674, 0.5506702412868633)
ExpGroups	N	716	1865
ExpGroups	i	(1.0,)	(2.0,)
ExpGroups	N(i)	(716,)	(1865,)
ExpGroups	%	(1.0,)	(1.0,)
T0_SF12_PF	N	716	1862
T0_SF12_PF	i	(0.0, 25.0, 50.0, 75.0, 100.0)	(0.0, 25.0, 50.0, 75.0, 100.0)
T0_SF12_PF	N(i)	(130, 67, 109, 109, 301)	(271, 179, 301, 308, 803)
T0_SF12_PF	%	(0.18156424581005587, 0.0935754189944134, 0.15223463687150837, 0.15223463687150837, 0.420391061452514)	(0.14554242749731472, 0.09613319011815252, 0.16165413533834586, 0.16541353383458646, 0.4312567132116004)
T0_NegExpectation	N	713	1863
T0_NegExpectation	i	(0.0, 1.0)	(0.0, 1.0)
T0_NegExpectation	N(i)	(437, 276)	(1021, 842)
T0_NegExpectation	%	(0.6129032258064516, 0.3870967741935484)	(0.548040794417606, 0.451959205582394)
T0_PsychAttribution	N	716	1859
T0_PsychAttribution	i	(0.0, 1.0)	(0.0, 1.0)
T0_PsychAttribution	N(i)	(363, 353)	(1166, 693)
T0_PsychAttribution	%	(0.5069832402234636, 0.4930167597765363)	(0.6272189349112426, 0.3727810650887574)
T0_IllnessWorry	N	712	1862
T0_IllnessWorry	i	(0.0, 1.0, 2.0, 3.0)	(0.0, 1.0, 2.0, 3.0)
T0_IllnessWorry	N(i)	(361, 169, 117, 65)	(1095, 401, 288, 78)
T0_IllnessWorry	%	(0.5070224719101124, 0.23735955056179775, 0.16432584269662923, 0.09129213483146068)	(0.5880773361976369, 0.21535982814178303, 0.15467239527389903, 0.04189044038668099)
T0_IncapacityBenefitorDLA	N	713	1848
T0_IncapacityBenefitorDLA	i	(0.0, 1.0)	(0.0, 1.0)
T0_IncapacityBenefitorDLA	N(i)	(516, 197)	(1451, 397)
T0_IncapacityBenefitorDLA	%	(0.7237026647966339, 0.2762973352033661)	(0.7851731601731602, 0.21482683982683984)
T0_SIMD04_bin	N	716	1865
T0_SIMD04_bin	i	(False, True)	(False, True)
T0_SIMD04_bin	N(i)	(464, 252)	(1259, 606)
T0_SIMD04_bin	%	(0.6480446927374302, 0.35195530726256985)	(0.6750670241286864, 0.3249329758713137)
ExpGroups_bin*T0_IncapacityBenefitorDLA	N	713	1848
ExpGroups_bin*T0_IncapacityBenefitorDLA	i	(0.0, 1.0)	(-0.0,)
ExpGroups_bin*T0_IncapacityBenefitorDLA	N(i)	(516, 197)	(1848,)
ExpGroups_bin*T0_IncapacityBenefitorDLA	%	(0.7237026647966339, 0.2762973352033661)	(1.0,)
ExpGroups_bin*T0_LackofPsychAttribution	N	716	1859
ExpGroups_bin*T0_LackofPsychAttribution	i	(-0.0, 1.0)	(-0.0,)
ExpGroups_bin*T0_LackofPsychAttribution	N(i)	(353, 363)	(1859,)
ExpGroups_bin*T0_LackofPsychAttribution	%	(0.4930167597765363, 0.5069832402234636)	(1.0,)
T0_Inemployment	N	714	1860
T0_Inemployment	i	(0.0, 1.0)	(0.0, 1.0)
T0_Inemployment	N(i)	(355, 359)	(932, 928)
T0_Inemployment	%	(0.49719887955182074, 0.5028011204481793)	(0.5010752688172043, 0.4989247311827957)
