		1.0	2.0
Age	N	716.0	1865.0
Age	Mean	45.94869971217875	49.86389358364062
Age	SD	14.031757602640457	16.58713284705049
T0_PHQ13_Total	N	713.0	1858.0
T0_PHQ13_Total	Mean	5.447405329593268	4.083961248654467
T0_PHQ13_Total	SD	3.105874666438303	2.819932709739401
T0_PHQNeuro28_Total	N	708.0	1848.0
T0_PHQNeuro28_Total	Mean	10.309322033898304	8.052489177489177
T0_PHQNeuro28_Total	SD	5.777738391953247	5.235023682470584
T0_HADS	N	714.0	1853.0
T0_HADS	Mean	13.27450980392157	10.542903399892067
T0_HADS	SD	8.67830847447615	7.4756566481919835
T0_IllnessWorry	N	712.0	1862.0
T0_IllnessWorry	Mean	0.8398876404494382	0.650375939849624
T0_IllnessWorry	SD	1.0061325258881757	0.8879740862682823
T0_SF12_PF	N	716.0	1862.0
T0_SF12_PF	Mean	63.40782122905028	66.01772287862514
T0_SF12_PF	SD	38.481398943086084	36.73720092542487
