		False	True
Gender	N	1200	2581
Gender	i	(1.0, 2.0)	(1.0, 2.0)
Gender	N(i)	(556, 644)	(1064, 1517)
Gender	%	(0.4633333333333333, 0.5366666666666666)	(0.4122433165439752, 0.5877566834560248)
ExpGroups	N	1200	2581
ExpGroups	i	(1.0, 2.0)	(1.0, 2.0)
ExpGroups	N(i)	(428, 772)	(716, 1865)
ExpGroups	%	(0.3566666666666667, 0.6433333333333333)	(0.2774118558698179, 0.7225881441301821)
T0_SF12_PF	N	1198	2578
T0_SF12_PF	i	(0.0, 25.0, 50.0, 75.0, 100.0)	(0.0, 25.0, 50.0, 75.0, 100.0)
T0_SF12_PF	N(i)	(182, 101, 171, 184, 560)	(401, 246, 410, 417, 1104)
T0_SF12_PF	%	(0.15191986644407346, 0.08430717863105175, 0.14273789649415694, 0.15358931552587646, 0.4674457429048414)	(0.15554693560899924, 0.09542280837858805, 0.1590380139643134, 0.1617532971295578, 0.42823894491854153)
T0_NegExpectation	N	1195	2576
T0_NegExpectation	i	(0.0, 1.0)	(0.0, 1.0)
T0_NegExpectation	N(i)	(716, 479)	(1458, 1118)
T0_NegExpectation	%	(0.599163179916318, 0.400836820083682)	(0.5659937888198758, 0.4340062111801242)
T0_PsychAttribution	N	1191	2575
T0_PsychAttribution	i	(0.0, 1.0)	(0.0, 1.0)
T0_PsychAttribution	N(i)	(628, 563)	(1529, 1046)
T0_PsychAttribution	%	(0.5272879932829555, 0.4727120067170445)	(0.5937864077669903, 0.40621359223300973)
T0_IllnessWorry	N	1194	2574
T0_IllnessWorry	i	(0.0, 1.0, 2.0, 3.0)	(0.0, 1.0, 2.0, 3.0)
T0_IllnessWorry	N(i)	(573, 298, 235, 88)	(1456, 570, 405, 143)
T0_IllnessWorry	%	(0.4798994974874372, 0.24958123953098826, 0.1968174204355109, 0.07370184254606366)	(0.5656565656565656, 0.22144522144522144, 0.15734265734265734, 0.05555555555555555)
T0_IncapacityBenefitorDLA	N	1190	2561
T0_IncapacityBenefitorDLA	i	(0.0, 1.0)	(0.0, 1.0)
T0_IncapacityBenefitorDLA	N(i)	(904, 286)	(1967, 594)
T0_IncapacityBenefitorDLA	%	(0.7596638655462185, 0.24033613445378152)	(0.768059351815697, 0.23194064818430302)
T0_SIMD04_bin	N	1200	2581
T0_SIMD04_bin	i	(False, True)	(False, True)
T0_SIMD04_bin	N(i)	(662, 538)	(1723, 858)
T0_SIMD04_bin	%	(0.5516666666666666, 0.4483333333333333)	(0.6675707090275087, 0.3324292909724913)
ExpGroups_bin*T0_IncapacityBenefitorDLA	N	1190	2561
ExpGroups_bin*T0_IncapacityBenefitorDLA	i	(-0.0, 1.0)	(-0.0, 1.0)
ExpGroups_bin*T0_IncapacityBenefitorDLA	N(i)	(1080, 110)	(2364, 197)
ExpGroups_bin*T0_IncapacityBenefitorDLA	%	(0.907563025210084, 0.09243697478991597)	(0.9230769230769231, 0.07692307692307693)
ExpGroups_bin*T0_LackofPsychAttribution	N	1191	2575
ExpGroups_bin*T0_LackofPsychAttribution	i	(-0.0, 1.0)	(-0.0, 1.0)
ExpGroups_bin*T0_LackofPsychAttribution	N(i)	(971, 220)	(2212, 363)
ExpGroups_bin*T0_LackofPsychAttribution	%	(0.815281276238455, 0.1847187237615449)	(0.8590291262135923, 0.14097087378640777)
T0_Inemployment	N	1192	2574
T0_Inemployment	i	(0.0, 1.0)	(0.0, 1.0)
T0_Inemployment	N(i)	(589, 603)	(1287, 1287)
T0_Inemployment	%	(0.4941275167785235, 0.5058724832214765)	(0.5, 0.5)
