		False	True
Age	N	1200.0	2581.0
Age	Mean	41.0161145334917	48.77777238566829
Age	SD	15.790374568728238	16.01301620777291
T0_PHQ13_Total	N	1192.0	2571.0
T0_PHQ13_Total	Mean	5.030201342281879	4.462077012835473
T0_PHQ13_Total	SD	3.1698242357751774	2.964974032783151
T0_PHQNeuro28_Total	N	1178.0	2556.0
T0_PHQNeuro28_Total	Mean	9.883701188455008	8.677621283255085
T0_PHQNeuro28_Total	SD	6.140320871926076	5.483523084278299
T0_HADS	N	1188.0	2567.0
T0_HADS	Mean	13.288720538720538	11.30268796260226
T0_HADS	SD	8.837194928247737	7.92216154786279
T0_IllnessWorry	N	1194.0	2574.0
T0_IllnessWorry	Mean	0.864321608040201	0.7027972027972028
T0_IllnessWorry	SD	0.9766855100291234	0.9258644473096568
T0_SF12_PF	N	1198.0	2578.0
T0_SF12_PF	Mean	67.50834724540901	65.29286268425136
T0_SF12_PF	SD	37.30574769120644	37.24065090998302
