		0.0	1.0
Age	N	870.0	1711.0
Age	Mean	45.89096430583915	50.2456409008357
Age	SD	16.225765733694686	15.706217304919576
T0_PHQ13_Total	N	867.0	1704.0
T0_PHQ13_Total	Mean	3.9457900807381776	4.724765258215962
T0_PHQ13_Total	SD	2.6960008304566543	3.0603553793021745
T0_PHQNeuro28_Total	N	860.0	1696.0
T0_PHQNeuro28_Total	Mean	7.633720930232558	9.20695754716981
T0_PHQNeuro28_Total	SD	4.982112601656052	5.649149981792019
T0_HADS	N	869.0	1698.0
T0_HADS	Mean	9.940161104718067	12.0
T0_HADS	SD	6.954334952272094	8.290042731226583
T0_IllnessWorry	N	866.0	1708.0
T0_IllnessWorry	Mean	0.6339491916859122	0.7377049180327869
T0_IllnessWorry	SD	0.8833474782653356	0.9450304152833378
T0_SF12_PF	N	870.0	1708.0
T0_SF12_PF	Mean	75.97701149425288	59.85070257611241
T0_SF12_PF	SD	32.099879014034194	38.48810046826025
