		Not Explained	Explained
T0T1_HADS	CI	(0.06, 0.9)	(0.46, 0.95)
T0T1_HADS	Mean	0.4793956043956044	0.7012561441835062
T0T1_HADS	N	728	1831
T0T1_HADS	SD	5.731700854227001	5.3703083278331105
T0T1_HADS	cohend	-0.04051887714094806	-0.04051887714094806
T0T1_HADS	tTestp	0.355174607158282	0.355174607158282
T0T1_PHQNeuro28_Total	CI	(-0.67, 0.0)	(-0.41, -0.03)
T0T1_PHQNeuro28_Total	Mean	-0.33226837060702874	-0.21819299323909036
T0T1_PHQNeuro28_Total	N	626	1627
T0T1_PHQNeuro28_Total	SD	4.271746842482824	3.902213511259213
T0T1_PHQNeuro28_Total	cohend	-0.0284602592219678	-0.0284602592219678
T0T1_PHQNeuro28_Total	tTestp	0.5451623994565208	0.5451623994565208
T0T1_SF12_NormedMCS	CI	(-3.27, -0.74)	(-2.91, -1.32)
T0T1_SF12_NormedMCS	Mean	-2.0050456666666663	-2.1143335600425095
T0T1_SF12_NormedMCS	N	750	1882
T0T1_SF12_NormedMCS	SD	17.638072283035193	17.565171672128926
T0T1_SF12_NormedMCS	cohend	0.006214495499657616	0.006214495499657616
T0T1_SF12_NormedMCS	tTestp	0.8855793192661174	0.8855793192661174
T0T1_SF12_NormedPCS	CI	(-1.94, 0.82)	(-1.3, 0.43)
T0T1_SF12_NormedPCS	Mean	-0.5598677484848481	-0.43603861677419437
T0T1_SF12_NormedPCS	N	330	775
T0T1_SF12_NormedPCS	SD	12.774908819873726	12.231234236940143
T0T1_SF12_NormedPCS	cohend	-0.009989526644240927	-0.009989526644240927
T0T1_SF12_NormedPCS	tTestp	0.8792346008219369	0.8792346008219369
T0_HADS	CI	(13.31, 14.35)	(10.81, 11.41)
T0_HADS	Mean	13.833333333333334	11.107974055703929
T0_HADS	N	1134	2621
T0_HADS	SD	8.903498523977007	7.845172662222922
T0_HADS	cohend	0.3332095285359638	0.3332095285359638
T0_HADS	tTestp	1.1658253188952565e-20	1.1658253188952565e-20
T0_PHQNeuro28_Total	CI	(10.3, 11.0)	(8.16, 8.58)
T0_PHQNeuro28_Total	Mean	10.653024911032029	8.371264367816092
T0_PHQNeuro28_Total	N	1124	2610
T0_PHQNeuro28_Total	SD	5.972233146659713	5.475869390662087
T0_PHQNeuro28_Total	cohend	0.40529789588366744	0.40529789588366744
T0_PHQNeuro28_Total	tTestp	1.994904399247412e-29	1.994904399247412e-29
T0_SF12_NormedMCS	CI	(18.14, 20.25)	(22.7, 24.14)
T0_SF12_NormedMCS	Mean	19.191803809106837	23.4195258868211
T0_SF12_NormedMCS	N	1142	2633
T0_SF12_NormedMCS	SD	18.196941162671614	18.924005943418273
T0_SF12_NormedMCS	cohend	-0.2259954222068423	-0.2259954222068423
T0_SF12_NormedMCS	tTestp	2.008261819966861e-10	2.008261819966861e-10
T0_SF12_NormedPCS	CI	(29.72, 31.52)	(32.78, 33.96)
T0_SF12_NormedPCS	Mean	30.61937630708661	33.36780326129886
T0_SF12_NormedPCS	N	1143	2633
T0_SF12_NormedPCS	SD	15.50396130399774	15.488592411927245
T0_SF12_NormedPCS	cohend	-0.17739518259310133	-0.17739518259310133
T0_SF12_NormedPCS	tTestp	5.74809556901232e-07	5.74809556901232e-07
T1T2_HADS	CI	(-0.49, 0.33)	(-0.18, 0.32)
T1T2_HADS	Mean	-0.08041958041958042	0.07033248081841433
T1T2_HADS	N	572	1564
T1T2_HADS	SD	4.971072308234563	5.085466818500194
T1T2_HADS	cohend	-0.02982170756498104	-0.02982170756498104
T1T2_HADS	tTestp	0.5417235209696296	0.5417235209696296
T1T2_PHQNeuro28_Total	CI	(0.53, 1.15)	(0.49, 0.9)
T1T2_PHQNeuro28_Total	Mean	0.837953091684435	0.6977443609022557
