	ExpGroups	T2_poorCGI	1.0	2.0	3.0	4.0	5.0
CGI_N	1.0	0.0	51.0	42.0	51.0	44.0	34.0
CGI_N	1.0	1.0	90.0	108.0	101.0	87.0	87.0
CGI_N	2.0	0.0	171.0	171.0	97.0	101.0	86.0
CGI_N	2.0	1.0	273.0	299.0	204.0	217.0	202.0
CGI_%	1.0	0.0	0.22972972972972974	0.1891891891891892	0.22972972972972974	0.1981981981981982	0.15315315315315314
CGI_%	1.0	1.0	0.19027484143763213	0.22832980972515857	0.2135306553911205	0.1839323467230444	0.1839323467230444
CGI_%	2.0	0.0	0.2731629392971246	0.2731629392971246	0.15495207667731628	0.16134185303514376	0.13738019169329074
CGI_%	2.0	1.0	0.22845188284518828	0.2502092050209205	0.1707112970711297	0.1815899581589958	0.16903765690376568
IPS_N	1.0	0.0	66.0	59.0	64.0	57.0	34.0
IPS_N	1.0	1.0	77.0	93.0	88.0	75.0	87.0
IPS_N	2.0	0.0	228.0	216.0	141.0	131.0	107.0
IPS_N	2.0	1.0	223.0	260.0	161.0	188.0	183.0
IPS_%	1.0	0.0	0.2357142857142857	0.21071428571428572	0.22857142857142856	0.20357142857142857	0.12142857142857143
IPS_%	1.0	1.0	0.18333333333333332	0.22142857142857142	0.20952380952380953	0.17857142857142858	0.20714285714285716
IPS_%	2.0	0.0	0.2770352369380316	0.2624544349939247	0.17132442284325639	0.1591737545565006	0.13001215066828675
IPS_%	2.0	1.0	0.21970443349753693	0.2561576354679803	0.15862068965517243	0.1852216748768473	0.18029556650246306
