		coeff	coeffLCI	coeffUCI	OR	ORLCI	ORUCI	p	llrp
AgeBins	constant	0.20958048476658958	0.01972655408916521	0.3994344154440139	1.2331606217616586	1.019922408280208	1.4909811831939037	0.030494156240881108	1.0
AgeBins	Binned Ages - 36-45	0.39655531880372613	0.10412097011929661	0.6889896674881557	1.486694677871148	1.1097346915341315	1.991702234842153	0.007865085302351213	2.658937667820993e-07
AgeBins	Binned Ages - 46-55	0.5456020867128084	0.260614788621983	0.8305893848036339	1.7256470588235286	1.297727669673919	2.2946707858780138	0.00017521322500521066	2.658937667820993e-07
AgeBins	Binned Ages - >=56	0.7267109138142347	0.47560800399680453	0.9778138236316649	2.06826670061964	1.6089921738214057	2.658637633228706	1.4090546955771284e-08	2.658937667820993e-07
Gender	constant	0.826923641192066	0.6797717890580741	0.9740754933260578	2.286274509803921	1.9734273231300261	2.6487173218462408	3.269010127065024e-28	1.0
Gender	T0 Patient gender - Female	-0.2989235125361651	-0.49304400952666816	-0.10480301554566207	0.7416161316027609	0.6107643890227329	0.9005018899898114	0.002543465909584391	0.002456420618905719
Diagnosis	constant	0.6836684366054004	0.5185429712697309	0.84879390194107	1.981132075471696	1.6795786716371173	2.3368267094253645	4.864548274261744e-16	1.0
Diagnosis	T0 Neurologist assigned explanation of symptoms by organic disease - Completely explained	-0.037602974778866545	-0.24027233031105222	0.16506638075331914	0.9630952380952391	0.7864136676234741	1.179471410313569	0.7161202501877417	0.7159364553740527
T0_PHQ13_Binned	constant	0.46739606583865506	0.3060393274871086	0.6287528041902015	1.5958333333333339	1.3580357136297232	1.8752702909197192	1.3679354154041638e-08	1.0
T0_PHQ13_Binned	T0 PHQ13 - Binned - 3-5	0.06323218522351517	-0.1592580885734344	0.2857224590204648	1.0652741514360307	0.8527762387621773	1.3307230738100237	0.5775098542079746	1.3030639456346194e-08
T0_PHQ13_Binned	T0 PHQ13 - Binned - 6-8	0.4231105488797853	0.1487163953403835	0.697504702419187	1.526703061951103	1.160343863614037	2.0087340593255125	0.002509222494684933	1.3030639456346194e-08
T0_PHQ13_Binned	T0 PHQ13 - Binned - 9-13	1.2297474270145503	0.765612862106799	1.6938819919223016	3.4203655352480387	2.1503118155387324	5.44055997375506	2.069085368472324e-07	1.3030639456346194e-08
T0_SF12_PF	constant	0.25289595636636514	0.11345733250218856	0.3923345802305417	1.2877492877492875	1.1201440941270615	1.4804329521472182	0.00037836425149131547	1.0
T0_SF12_PF	T0 SF12 Physical Functioning Scale - 0.0	1.3609765531355995	1.0119686924828382	1.7099844137883609	3.899999999999995	2.751011583221028	5.528875302731841	2.122276811526989e-14	0.0
T0_SF12_PF	T0 SF12 Physical Functioning Scale - 25.0	0.960785662086532	0.5853207429209559	1.3362505812521082	2.6137491905892523	1.7955668086323615	3.80475112285546	5.292431637029671e-07	0.0
T0_SF12_PF	T0 SF12 Physical Functioning Scale - 50.0	0.6150539485735074	0.33093130382043784	0.899176593326577	1.8497563885850654	1.3922641457951994	2.457578691116116	2.20720342024456e-05	0.0
T0_SF12_PF	T0 SF12 Physical Functioning Scale - 75.0	0.3348907085357539	0.06329028527437658	0.6064911317971313	1.3977876106194693	1.0653360457164236	1.8339848841661748	0.01566239713963138	0.0
T0_HADS_Binned	constant	0.47578160652562396	0.33216998242523466	0.6193932306260133	1.6092715231788077	1.3939897821385903	1.8578004433728101	8.397057877623821e-11	1.0
T0_HADS_Binned	T0 HADS - Binned - 8-14	0.13834358707817038	-0.08446692661863861	0.36115410077497934	1.1483700476075205	0.9190020493794637	1.4349845760763633	0.2236246174087183	9.157164081674551e-06
T0_HADS_Binned	T0 HADS - Binned - 15-21	0.3375098858763851	0.055355724906740233	0.6196640468460299	1.4014534629191848	1.0569165193424794	1.8583036339994459	0.01905319172859697	9.157164081674551e-06
T0_HADS_Binned	T0 HADS - Binned - >=22	0.9317149622448689	0.5351754140548299	1.328254510434908	2.5388594944150484	1.7077477789445021	3.774449372357175	4.121503306300501e-06	9.157164081674551e-06
T0_NegExpectation	constant	0.3381514981409325	0.21371626461445137	0.4625867316674136	1.40235294117647	1.2382712635703648	1.5881768635702045	1.0029838451598271e-07	1.0
T0_NegExpectation	T0 IPQ1 - Agree or Strongly agree (>3) - Negative Expectation	0.7699846720384332	0.5701523212723746	0.9698170228044919	2.1597331492244973	1.7685364166354118	2.6374618198324336	4.284875693563879e-14	1.5987211554602254e-14
