		coeff	coeffLCI	coeffUCI	OR	ORLCI	ORUCI	p	llrp
AgeBins	constant	0.2439776382170516	-0.05626922530226275	0.5442245017363659	1.276315789473684	0.9452846070950682	1.723271470024059	0.11123931564851182	1.0
AgeBins	Binned Ages - 36-45	0.5107274353423271	0.08670937083432917	0.9347454998503251	1.66650302732777	1.0905796793934195	2.5465652740176847	0.0182372399493138	0.0029513772925480186
AgeBins	Binned Ages - 46-55	0.7180591154453078	0.2673788318995311	1.1687393989910844	2.050449660013162	1.3065353098429262	3.2179335503405144	0.0017915886030067144	0.0029513772925480186
AgeBins	Binned Ages - >=56	0.7368516147946748	0.2894256788145921	1.1842775507747574	2.0893470790378013	1.3356601697709936	3.2683247696397646	0.0012474499812332826	0.0029513772925480186
Gender	constant	0.6799019538099245	0.40393957182661644	0.9558643357932325	1.9736842105263155	1.497713440136146	2.6009176779015752	1.3731781663606762e-06	1.0
Gender	T0 Patient gender - Female	0.06263798207959723	-0.2720841801372177	0.3973601442964122	1.0646413502109706	0.7617901307928856	1.4878916892757732	0.7137858143368528	0.7141226322191973
Diagnosis	constant	0.6190392084062233	0.3734674755213935	0.8646109412910531	1.8571428571428568	1.4527633124058097	2.374082248900644	7.784537558999106e-07	1.0
Diagnosis	T0 Neurologist assigned explanation of symptoms by organic disease - Somewhat explained	0.17208838051392583	-0.14627675493294334	0.490453515960795	1.1877828054298645	0.8639185763687347	1.6330566693043012	0.289401916172065	0.2901229309959129
T0_PHQ13_Binned	constant	0.3621146672345507	0.01791884092015783	0.7063104935489436	1.4363636363636365	1.018080346572626	2.026500661576805	0.03920776026216112	1.0
T0_PHQ13_Binned	T0 PHQ13 - Binned - 3-5	0.33103251332539463	-0.10440851960719233	0.7664735462579816	1.3924050632911391	0.9008572044084362	2.1521633515180056	0.1362214191856879	0.07323260275857879
T0_PHQ13_Binned	T0 PHQ13 - Binned - 6-8	0.471484348794491	0.01767918890566239	0.9252895086833197	1.6023709061683744	1.0178363908000654	2.522598468813454	0.04171827266101001	0.07323260275857879
T0_PHQ13_Binned	T0 PHQ13 - Binned - 9-13	0.6548195904192916	0.1329753291566873	1.176663851681896	1.9247952345495154	1.1422218184077741	3.2435352181496273	0.013917017770285294	0.07323260275857879
T0_SF12_PF	constant	0.3695991949196674	0.1397892694253348	0.5994091204140001	1.447154471544715	1.150031426537098	1.8210424656115316	0.001620590940666833	1.0
T0_SF12_PF	T0 SF12 Physical Functioning Scale - 0.0	1.1677354236130886	0.662033896141503	1.6734369510846743	3.2147044455300433	1.9387315056402308	5.3304568693734105	6.015879686827757e-06	1.7125742809209754e-05
T0_SF12_PF	T0 SF12 Physical Functioning Scale - 25.0	0.8735943225595495	0.2548988686737754	1.4922897764453236	2.395505617977528	1.290331121376634	4.447267116706941	0.005649540124274233	1.7125742809209754e-05
T0_SF12_PF	T0 SF12 Physical Functioning Scale - 50.0	0.3791178367950887	-0.08400220579248158	0.842237879382659	1.4609951845906906	0.9194292280228094	2.3215565313138304	0.10861282665021839	1.7125742809209754e-05
T0_SF12_PF	T0 SF12 Physical Functioning Scale - 75.0	0.2554945223952626	-0.20058516062681425	0.7115742054173395	1.2910999408633952	0.8182518042219915	2.0371957002678633	0.27221926247178163	1.7125742809209754e-05
T0_HADS_Binned	constant	0.6359887667199968	0.35033230263724385	0.9216452308027498	1.888888888888889	1.4195391868410587	2.5134221496960962	1.2788918000598574e-05	1.0
T0_HADS_Binned	T0 HADS - Binned - 8-14	-0.25993754381812584	-0.6498377948993831	0.12996270726313142	0.7710997442455242	0.5221304621167748	1.138785914089286	0.19132719669441878	0.0020680050514583215
T0_HADS_Binned	T0 HADS - Binned - 15-21	0.4211237910413604	-0.03478022168364392	0.8770278037663647	1.5236728837876616	0.9658176587125062	2.403744677732042	0.07022737615174736	0.0020680050514583215
T0_HADS_Binned	T0 HADS - Binned - >=22	0.5185039803425698	0.012718749321503187	1.0242892113636364	1.6795131845841789	1.0127999766182245	2.7851151286661007	0.04451059572454864	0.0020680050514583215
T0_NegExpectation	constant	0.394036412284542	0.20286972166715192	0.5852031029019321	1.482954545454546	1.2249128782445033	1.795355590542929	5.34705815721613e-05	1.0
T0_NegExpectation	T0 IPQ1 - Agree or Strongly agree (>3) - Negative Expectation	0.9300156399581281	0.5830313132639797	1.2769999666522764	2.5345488175452506	1.7914606868615905	3.585865855518126	1.494343903310298e-07	5.535933200739862e-08
T0_PsychAttribution	constant	0.4672424678044075	0.2528862317137113	0.6815987038951037	1.5955882352941175	1.287736764895649	1.9770359020659798	1.9353078172309177e-05	1.0
T0_PsychAttribution	T0 Causal Attribution - Strongly agree or agree to stress & worry or emotional factors (df['T0_C7'] > 3) | (df['T0_C8'] > 3) - No Psychological Attribution	0.5275198795112431	0.21185672618590573	0.8431830328365806	1.6947239725383247	1.23597079014306	2.3237517957553386	0.0010551616258919448	0.000989720170811892
T0_IllnessWorry	constant	0.6233036071926805	0.4068910343191131	0.8397161800662479	1.8650793650793642	1.5021404149906725	2.3157096389463994	1.651650668899328e-08	1.0
T0_IllnessWorry	T0 Whiteley Index - Sum of (T0_Wserious, T0_Wseriousworry, T0_Wattention) - 1.0	0.2723678374787389	-0.12417179146968133	0.668907466427159	1.3130699088145903	0.8832280967961418	1.9521034166469782	0.17823029819455882	0.4498744382746277
T0_IllnessWorry	T0 Whiteley Index - Sum of (T0_Wserious, T0_Wseriousworry, T0_Wattention) - 2.0	0.0698435733672652	-0.3712718512987743	0.5109589980333047	1.0723404255319158	0.6898563777129576	1.6668889719367617	0.7563108151171204	0.4498744382746277
T0_IllnessWorry	T0 Whiteley Index - Sum of (T0_Wserious, T0_Wseriousworry, T0_Wattention) - 3.0	0.3364722366212134	-0.24831998889393148	0.9212644621363583	1.4000000000000006	0.7801102767103111	2.512465299476929	0.2594442732899963	0.4498744382746277
T0_IncapacityBenefitorDLA	constant	0.4574248470388756	0.2803265428153975	0.6345231512623537	1.5800000000000003	1.3235619414219781	1.8861225318385748	4.1408765418534763e-07	1.0
T0_IncapacityBenefitorDLA	T0 Socioeconomic - Are you currently receiving incapacity benefit or disability living allowance? - Yes	1.109964829151725	0.7001903492860047	1.5197393090174454	3.0342516753536843	2.014136060344849	4.571033412613805	1.1023073052269096e-07	1.3571716639404485e-08
