		coeff	coeffLCI	coeffUCI	OR	ORLCI	ORUCI	p	llrp
constant	constant	-1.6770617522076776	-2.2269574174645115	-1.1271660869508437	0.18692239426281634	0.10785609247647969	0.3239500029593892	2.2664028804156487e-09	1.0
AgeBinInt	Binned Ages (IntEnc)	-0.023621221980672683	-0.12617957325441417	0.0789371292930688	0.9766555753694087	0.8814565465499087	1.0821362852583258	0.6516879013015693	0.6517959566732692
Gender	T0 Patient gender - Female	-0.030278017614773372	-0.2573935713737208	0.1968375361441741	0.9701757700972368	0.773063898064068	1.2175462173836513	0.7938661580405556	0.7939399275190203
ExpGroups_bin	Broad organicity groups - Not Explained	-0.3305275442747838	-0.6500263753557807	-0.011028713193786954	0.7185445693540607	0.5220320077995017	0.9890318801036275	0.042599090040932264	0.03911405293511183
T0_PHQNeuro28_BinInt	T0 PHQ13 & Neurosymptoms 15 - Binned (IntEnc)	0.3634830854893296	0.2327450716809742	0.49422109929768504	1.438330528042448	1.262059703555388	1.6392209513312255	5.0605221060221154e-08	3.959209704529343e-08
T0_SF12_PF_BinInt	T0 SF12 PF - Recoded (IntEnc)	-0.3393528478502449	-0.43102995934171395	-0.24767573635877582	0.7122310955360817	0.6498394417212172	0.7806130266653599	4.0159982223015803e-13	2.481348460037225e-13
T0_HADS_BinInt	T0 HADS - Binned (IntEnc)	0.14062137481943104	0.0008506529574603128	0.28039209668140175	1.1509887721414815	1.0008510148652994	1.3236487088680742	0.04862188624446027	0.0487001688348081
T0_NegExpectation	T0 IPQ1 - Agree or Strongly agree (>3) - Negative Expectation	0.2532962795151137	0.026774009591458564	0.4798185494387688	1.2882649067991927	1.0271356537267364	1.6157811911880793	0.028406686031423004	0.028582536539284997
T0_LackofPsychAttribution	T0 Causal Attribution - Strongly agree or agree to stress & worry or emotional factors (df['T0_C7'] > 3) | (df['T0_C8'] > 3) - No Psychological Attribution	0.2770820959213017	0.026869371090083305	0.5272948207525201	1.3192746736590801	1.0272336075924062	1.6943426029815765	0.029973764581958644	0.029103175339216247
T0_IllnessWorry	T0 Whiteley Index - Sum of (T0_Wserious, T0_Wseriousworry, T0_Wattention)	0.009855187458213304	-0.11793529315301203	0.13764566806943865	1.0099039097423448	0.8887535591946274	1.1475688579375083	0.8798556546334331	0.8799145382640331
T0_IncapacityBenefitorDLA	T0 Socioeconomic - Are you currently receiving incapacity benefit or disability living allowance? - Yes	-0.16396690293648364	-0.4801144930339055	0.15218068716093824	0.8487701132136817	0.6187125494738368	1.1643706042449196	0.3093835204080664	0.3076010376745866
T0_SIMD04_bin	T0 SIMD 2004 Quintile - Binarised - 4-5 (Most Deprived)	0.18875067820406316	-0.040478586505784925	0.4179799429139113	1.2077397990866763	0.9603297283063225	1.5188902095850303	0.10655723802357724	0.10802294547784963
ExpGroups_bin*T0_IncapacityBenefitorDLA	Interaction Term - Expgroups & Incapacity Benefit or DLA - Not Explained & In Receipt of DLA	0.48576476641901906	-0.014685074823646393	0.9862146076616845	1.6254175984344366	0.985422225010149	2.68106635130252	0.05711218084659187	0.05654663420699846
