		coeff	coeffLCI	coeffUCI	OR	ORLCI	ORUCI	p	llrp
AgeBins	constant	0.21	0.02	0.40	1.23	1.02	1.49	0.03	1.00
AgeBins	Binned Ages - 36-45	0.40	0.10	0.69	1.49	1.11	1.99	0.01	0.00
AgeBins	Binned Ages - 46-55	0.55	0.26	0.83	1.73	1.30	2.29	0.00	0.00
AgeBins	Binned Ages - >=56	0.73	0.48	0.98	2.07	1.61	2.66	0.00	0.00
Gender	constant	0.83	0.68	0.97	2.29	1.97	2.65	0.00	1.00
Gender	T0 Patient gender - Female	-0.30	-0.49	-0.10	0.74	0.61	0.90	0.00	0.00
T0_SIMD04	constant	0.47	0.28	0.66	1.60	1.32	1.93	0.00	1.00
T0_SIMD04	T0 SIMD 2004 Quintile - 2	0.09	-0.18	0.36	1.10	0.84	1.43	0.51	0.08
T0_SIMD04	T0 SIMD 2004 Quintile - 3	0.28	-0.03	0.58	1.32	0.97	1.79	0.08	0.08
T0_SIMD04	T0 SIMD 2004 Quintile - 4	0.30	-0.01	0.60	1.35	0.99	1.82	0.06	0.08
T0_SIMD04	T0 SIMD 2004 Quintile - 5	0.39	0.07	0.70	1.47	1.07	2.02	0.02	0.08
T0_Inemployment	constant	0.97	0.83	1.11	2.64	2.29	3.05	0.00	1.00
T0_Inemployment	T0 Socioeconomic - Are you in paid employment at the moment? - Yes	-0.60	-0.79	-0.41	0.55	0.45	0.67	0.00	0.00
T0_IncapacityBenefitorDLA	constant	0.50	0.39	0.61	1.65	1.48	1.83	0.00	1.00
T0_IncapacityBenefitorDLA	T0 Socioeconomic - Are you currently receiving incapacity benefit or disability living allowance? - Yes	0.85	0.58	1.11	2.33	1.79	3.04	0.00	0.00
T0_HADSQ1	constant	0.58	0.38	0.78	1.78	1.46	2.18	0.00	1.00
T0_HADSQ1	"T0 HADS Q1 - I feel tense or wound up - From time to time, occasionally"	0.00	-0.24	0.24	1.00	0.79	1.27	1.00	0.02
T0_HADSQ1	T0 HADS Q1 - I feel tense or wound up - A lot of the time	0.29	-0.04	0.61	1.33	0.96	1.84	0.08	0.02
T0_HADSQ1	T0 HADS Q1 - I feel tense or wound up - Most of the time	0.49	0.06	0.92	1.64	1.07	2.51	0.02	0.02
T0_HADSQ2	constant	0.42	0.28	0.56	1.52	1.32	1.74	0.00	1.00
T0_HADSQ2	T0 HADS Q2 - I still enjoy the things I used to enjoy - Not quite so much	0.29	0.08	0.51	1.34	1.08	1.66	0.01	0.00
T0_HADSQ2	T0 HADS Q2 - I still enjoy the things I used to enjoy - Only a little	0.67	0.30	1.05	1.96	1.35	2.84	0.00	0.00
T0_HADSQ2	T0 HADS Q2 - I still enjoy the things I used to enjoy - Hardly at all	0.83	0.47	1.18	2.29	1.61	3.27	0.00	0.00
T0_HADSQ3	constant	0.60	0.47	0.73	1.82	1.60	2.07	0.00	1.00
T0_HADSQ3	"T0 HADS Q3 - I get a sort of frightened feeling as if something awful is about to happen - A little, but it doesn't worry me"	0.17	-0.08	0.41	1.18	0.93	1.51	0.18	0.04
T0_HADSQ3	"T0 HADS Q3 - I get a sort of frightened feeling as if something awful is about to happen - Yes, but not too badly"	-0.09	-0.36	0.19	0.92	0.70	1.20	0.54	0.04
T0_HADSQ3	T0 HADS Q3 - I get a sort of frightened feeling as if something awful is about to happen - Very definitely and quite badly	0.50	0.08	0.91	1.65	1.09	2.49	0.02	0.04
T0_HADSQ4	constant	0.62	0.51	0.73	1.86	1.67	2.08	0.00	1.00
T0_HADSQ4	T0 HADS Q4 - I can laugh and see the funny side of things - Not quite so much now	0.02	-0.22	0.26	1.02	0.81	1.30	0.84	0.08
