	evalAuroc	evalAcc	evalSens	evalSpec
Functional_notExplainedReduced_T2_poorCGI__CV_0	0.7456059204440333	0.6571428571428571	0.48936170212765956	1.0
Functional_notExplainedReduced_T2_poorCGI__CV_1	0.6865530303030304	0.7	0.75	0.5909090909090909
Functional_notExplainedReduced_T2_poorCGI__CV_2	0.5323529411764706	0.49295774647887325	0.3333333333333333	0.9
Functional_notExplainedReduced_T2_poorCGI__CV_3	0.4414298018949182	0.6	0.8837209302325582	0.14814814814814814
Functional_notExplainedReduced_T2_poorCGI__CV_4	0.4395652173913044	0.5492957746478874	0.6521739130434783	0.36
Functional_notExplainedReduced_T2_poorCGI__CV_5	0.6686291000841044	0.6	0.43902439024390244	0.8275862068965517
Functional_notExplainedReduced_T2_poorCGI__CV_6	0.6799242424242424	0.5857142857142857	0.4583333333333333	0.8636363636363636
Functional_notExplainedReduced_T2_poorCGI__CV_7	0.5088383838383838	0.5352112676056338	0.5454545454545454	0.5185185185185185
Functional_notExplainedReduced_T2_poorCGI__CV_8	0.6666666666666665	0.6857142857142857	0.7083333333333334	0.6363636363636364
Functional_notExplainedReduced_T2_poorCGI__CV_9	0.6666666666666666	0.7746478873239436	0.8421052631578947	0.5
mean	0.604	0.618	0.61	0.635
CI	[0.5237084581070509, 0.6835379360709132]	[0.5566790615050503, 0.6794577594205031]	[0.4779895631307919, 0.7423785857212158]	[0.4438735851635527, 0.8251588077309091]
