	evalAuroc	evalAcc	evalSens	evalSpec
Functional_sharpe2010Set_T2_poorCGI__CV_0	0.5712412587412588	0.6571428571428571	0.8409090909090909	0.34615384615384615
Functional_sharpe2010Set_T2_poorCGI__CV_1	0.6741452991452991	0.6857142857142857	0.7307692307692307	0.5555555555555556
Functional_sharpe2010Set_T2_poorCGI__CV_2	0.7211174242424242	0.6571428571428571	0.625	0.7272727272727273
Functional_sharpe2010Set_T2_poorCGI__CV_3	0.6320921985815603	0.6056338028169014	0.5106382978723404	0.7916666666666666
Functional_sharpe2010Set_T2_poorCGI__CV_4	0.5823863636363636	0.5285714285714286	0.3958333333333333	0.8181818181818182
Functional_sharpe2010Set_T2_poorCGI__CV_5	0.46985357450473725	0.4857142857142857	0.37209302325581395	0.6666666666666666
Functional_sharpe2010Set_T2_poorCGI__CV_6	0.7596153846153846	0.6619718309859155	0.5769230769230769	0.8947368421052632
Functional_sharpe2010Set_T2_poorCGI__CV_7	0.7017045454545454	0.6714285714285714	0.6458333333333334	0.7272727272727273
Functional_sharpe2010Set_T2_poorCGI__CV_8	0.6882516188714154	0.6	0.44680851063829785	0.9130434782608695
Functional_sharpe2010Set_T2_poorCGI__CV_9	0.6387043189368771	0.647887323943662	0.7906976744186046	0.42857142857142855
mean	0.644	0.62	0.594	0.687
CI	[0.5830719328597237, 0.7047504644862493]	[0.5728735412763681, 0.6673679074157848]	[0.4768734226494392, 0.7102276916411853]	[0.5506997024480562, 0.8231246488934576]
