	evalAuroc	evalAcc	evalSens	evalSpec
Functional_sharpe2010Set_T2_poorCGI_1_selfNormalising_0.7_20_7000	0.6786423841059602	0.6872037914691943	0.7417218543046358	0.55
Functional_sharpe2010Set_T2_poorCGI_1_selfNormalising_0.7_80_7000	0.6745103916866507	0.5781990521327014	0.45323741007194246	0.8194444444444444
Functional_sharpe2010Set_T2_poorCGI_1_deepFeedForwardLeakyReLU_0.7_20_7000	0.6635932560590094	0.6824644549763034	0.773972602739726	0.47692307692307695
Functional_sharpe2010Set_T2_poorCGI_1_deepFeedForwardLeakyReLU_0.7_80_7000	0.6970382558617852	0.6350710900473934	0.5874125874125874	0.7352941176470589
Functional_sharpe2010Set_T2_poorCGI_1_deepFeedForwardTanH_0.7_20_7000	0.6449778291883554	0.5734597156398105	0.46616541353383456	0.7564102564102564
Functional_sharpe2010Set_T2_poorCGI_1_deepFeedForwardTanH_0.7_80_7000	0.6362670068027212	0.6161137440758294	0.6122448979591837	0.625
Functional_sharpe2010Set_T2_poorCGI_3_selfNormalising_0.7_20_7000	0.6675	0.5592417061611374	0.35294117647058826	0.9333333333333333
Functional_sharpe2010Set_T2_poorCGI_3_selfNormalising_0.7_80_7000	0.6169855987374235	0.5829383886255924	0.5474452554744526	0.6486486486486487
Functional_sharpe2010Set_T2_poorCGI_3_deepFeedForwardLeakyReLU_0.7_20_7000	0.7030181086519115	0.5734597156398105	0.37142857142857144	0.971830985915493
Functional_sharpe2010Set_T2_poorCGI_3_deepFeedForwardLeakyReLU_0.7_80_7000	0.6594713206776893	0.6208530805687204	0.5352112676056338	0.7971014492753623
Functional_sharpe2010Set_T2_poorCGI_3_deepFeedForwardTanH_0.7_20_7000	0.6326044598397921	0.5639810426540285	0.44966442953020136	0.8387096774193549
Functional_sharpe2010Set_T2_poorCGI_3_deepFeedForwardTanH_0.7_80_7000	0.6291649526943645	0.5071090047393365	0.3076923076923077	0.9264705882352942
Functional_sharpe2010Set_T2_poorCGI_5_selfNormalising_0.7_20_7000	0.5860688956433637	0.5213270142180095	0.3829787234042553	0.8
Functional_sharpe2010Set_T2_poorCGI_5_selfNormalising_0.7_80_7000	0.5947425527717498	0.5545023696682464	0.4744525547445255	0.7027027027027027
Functional_sharpe2010Set_T2_poorCGI_5_deepFeedForwardLeakyReLU_0.7_20_7000	0.5720356550580431	0.46919431279620855	0.2916666666666667	0.8507462686567164
Functional_sharpe2010Set_T2_poorCGI_5_deepFeedForwardLeakyReLU_0.7_80_7000	0.5423693953105718	0.4265402843601896	0.1958041958041958	0.9117647058823529
Functional_sharpe2010Set_T2_poorCGI_5_deepFeedForwardTanH_0.7_20_7000	0.6697860962566845	0.5781990521327014	0.4755244755244755	0.7941176470588235
Functional_sharpe2010Set_T2_poorCGI_5_deepFeedForwardTanH_0.7_80_7000	0.6473129610115912	0.5971563981042654	0.5684931506849316	0.6615384615384615
mean	0.64	0.574	0.477	0.767
CI	[0.6180766357207115, 0.6614888220968069]	[0.5410013115997993, 0.6064447126234761]	[0.40233866945998414, 0.5518899462125397]	[0.6989309664116393, 0.8344064073762917]
