	evalAuroc	evalAcc	evalSens	evalSpec
Functional_wholeSet+T1_wholeSet_T2_poorCGI__CV_0	0.7666666666666666	0.6842105263157895	0.6333333333333333	0.875
Functional_wholeSet+T1_wholeSet_T2_poorCGI__CV_1	0.5555555555555556	0.5641025641025641	0.48148148148148145	0.75
Functional_wholeSet+T1_wholeSet_T2_poorCGI__CV_2	0.7564935064935066	0.7692307692307693	0.8214285714285714	0.6363636363636364
Functional_wholeSet+T1_wholeSet_T2_poorCGI__CV_3	0.7746913580246914	0.7692307692307693	0.8148148148148148	0.6666666666666666
Functional_wholeSet+T1_wholeSet_T2_poorCGI__CV_4	0.41711229946524064	0.4358974358974359	0.09090909090909091	0.8823529411764706
Functional_wholeSet+T1_wholeSet_T2_poorCGI__CV_5	0.6430769230769231	0.6578947368421053	0.64	0.6923076923076923
Functional_wholeSet+T1_wholeSet_T2_poorCGI__CV_6	0.4585798816568048	0.6410256410256411	0.15384615384615385	0.8846153846153846
Functional_wholeSet+T1_wholeSet_T2_poorCGI__CV_7	0.7530864197530863	0.6923076923076923	0.5925925925925926	0.9166666666666666
Functional_wholeSet+T1_wholeSet_T2_poorCGI__CV_8	0.6758620689655173	0.5897435897435898	0.4482758620689655	1.0
Functional_wholeSet+T1_wholeSet_T2_poorCGI__CV_9	0.7810650887573964	0.7692307692307693	0.7307692307692307	0.8461538461538461
mean	0.658	0.657	0.541	0.815
CI	[0.5604406993536712, 0.7559972543294065]	[0.5811060851952837, 0.7334688135901416]	[0.3598943551194916, 0.7215958711293555]	[0.7284750206867616, 0.901550346103311]
