	evalAuroc	evalAcc	evalSens	evalSpec
Functional_wholeSet+T1_wholeSet_T2_poorCGI_1_selfNormalising_0.7_20_7000	0.5756814921090387	0.5689655172413793	0.5609756097560976	0.5882352941176471
Functional_wholeSet+T1_wholeSet_T2_poorCGI_1_selfNormalising_0.7_80_7000	0.5316065371569534	0.5775862068965517	0.5797101449275363	0.574468085106383
Functional_wholeSet+T1_wholeSet_T2_poorCGI_1_deepFeedForwardLeakyReLU_0.7_20_7000	0.5815789473684211	0.6982758620689655	0.9473684210526315	0.225
Functional_wholeSet+T1_wholeSet_T2_poorCGI_1_deepFeedForwardLeakyReLU_0.7_80_7000	0.7345852895148669	0.7327586206896551	0.8309859154929577	0.5777777777777777
Functional_wholeSet+T1_wholeSet_T2_poorCGI_1_deepFeedForwardTanH_0.7_20_7000	0.6804993252361673	0.6982758620689655	0.7692307692307693	0.5526315789473685
Functional_wholeSet+T1_wholeSet_T2_poorCGI_1_deepFeedForwardTanH_0.7_80_7000	0.727620261229691	0.6982758620689655	0.6986301369863014	0.6976744186046512
Functional_wholeSet+T1_wholeSet_T2_poorCGI_3_selfNormalising_0.7_20_7000	0.6875	0.5775862068965517	0.42105263157894735	0.875
Functional_wholeSet+T1_wholeSet_T2_poorCGI_3_selfNormalising_0.7_80_7000	0.58125	0.5775862068965517	0.5526315789473685	0.625
Functional_wholeSet+T1_wholeSet_T2_poorCGI_3_deepFeedForwardLeakyReLU_0.7_20_7000	0.7069078947368421	0.6293103448275862	0.5131578947368421	0.85
Functional_wholeSet+T1_wholeSet_T2_poorCGI_3_deepFeedForwardLeakyReLU_0.7_80_7000	0.6733266733266734	0.5689655172413793	0.4025974025974026	0.8974358974358975
Functional_wholeSet+T1_wholeSet_T2_poorCGI_3_deepFeedForwardTanH_0.7_20_7000	0.727689594356261	0.6982758620689655	0.691358024691358	0.7142857142857143
Functional_wholeSet+T1_wholeSet_T2_poorCGI_3_deepFeedForwardTanH_0.7_80_7000	0.688117234788149	0.6206896551724138	0.5068493150684932	0.813953488372093
Functional_wholeSet+T1_wholeSet_T2_poorCGI_5_selfNormalising_0.7_20_7000	0.7065789473684211	0.7068965517241379	0.6842105263157895	0.75
Functional_wholeSet+T1_wholeSet_T2_poorCGI_5_selfNormalising_0.7_80_7000	0.6709836571076164	0.5948275862068966	0.42028985507246375	0.851063829787234
Functional_wholeSet+T1_wholeSet_T2_poorCGI_5_deepFeedForwardLeakyReLU_0.7_20_7000	0.5372960372960373	0.4396551724137931	0.2077922077922078	0.8974358974358975
Functional_wholeSet+T1_wholeSet_T2_poorCGI_5_deepFeedForwardLeakyReLU_0.7_80_7000	0.769623950346842	0.7155172413793104	0.6746987951807228	0.8181818181818182
Functional_wholeSet+T1_wholeSet_T2_poorCGI_5_deepFeedForwardTanH_0.7_20_7000	0.510248447204969	0.5258620689655172	0.4142857142857143	0.6956521739130435
Functional_wholeSet+T1_wholeSet_T2_poorCGI_5_deepFeedForwardTanH_0.7_80_7000	0.5369696969696969	0.5689655172413793	0.696969696969697	0.4
mean	0.646	0.622	0.587	0.689
CI	[0.6045010590056581, 0.6875060505628583]	[0.5822824518134126, 0.6619704217498057]	[0.4977731250331832, 0.6769818350427392]	[0.5982326665693912, 0.7799668860934449]
