	evalAuroc	evalAcc	evalSens	evalSpec
Functional_wholeSet_T2_poorCGI__CV_0	0.49361207897793263	0.5	0.3902439024390244	0.7142857142857143
Functional_wholeSet_T2_poorCGI__CV_1	0.645679012345679	0.6190476190476191	0.5777777777777777	0.7222222222222222
Functional_wholeSet_T2_poorCGI__CV_2	0.4864130434782608	0.5483870967741935	0.5434782608695652	0.5625
Functional_wholeSet_T2_poorCGI__CV_3	0.6825396825396826	0.6825396825396826	0.7142857142857143	0.6190476190476191
Functional_wholeSet_T2_poorCGI__CV_4	0.7616407982261642	0.7142857142857143	0.6585365853658537	0.8181818181818182
Functional_wholeSet_T2_poorCGI__CV_5	0.6107456140350878	0.6129032258064516	0.5526315789473685	0.7083333333333334
Functional_wholeSet_T2_poorCGI__CV_6	0.8031578947368421	0.7142857142857143	0.5526315789473685	0.96
Functional_wholeSet_T2_poorCGI__CV_7	0.7397727272727272	0.7419354838709677	0.675	0.8636363636363636
Functional_wholeSet_T2_poorCGI__CV_8	0.4844789356984479	0.6825396825396826	0.975609756097561	0.13636363636363635
Functional_wholeSet_T2_poorCGI__CV_9	0.6888297872340425	0.6984126984126984	0.723404255319149	0.625
mean	0.64	0.651	0.636	0.673
CI	[0.5551597967762123, 0.724214118132761]	[0.5948457206876843, 0.7080216628248606]	[0.5251845652248267, 0.7475353167850499]	[0.5128974051700843, 0.833016736244057]
