	evalAuroc	evalAcc	evalSens	evalSpec
Functional_wholeSet_T2_poorCGI_1_selfNormalising_0.7_20_7000	0.6471633629528367	0.5585106382978723	0.41353383458646614	0.9090909090909091
Functional_wholeSet_T2_poorCGI_1_selfNormalising_0.7_80_7000	0.6840757808499743	0.6276595744680851	0.5793650793650794	0.7258064516129032
Functional_wholeSet_T2_poorCGI_1_deepFeedForwardLeakyReLU_0.7_20_7000	0.6587167070217917	0.6063829787234043	0.4406779661016949	0.8857142857142857
Functional_wholeSet_T2_poorCGI_1_deepFeedForwardLeakyReLU_0.7_80_7000	0.6069371903040044	0.5531914893617021	0.4732824427480916	0.7368421052631579
Functional_wholeSet_T2_poorCGI_1_deepFeedForwardTanH_0.7_20_7000	0.5930434782608694	0.4574468085106383	0.30434782608695654	0.88
Functional_wholeSet_T2_poorCGI_1_deepFeedForwardTanH_0.7_80_7000	0.6326864919354839	0.5904255319148937	0.4596774193548387	0.84375
Functional_wholeSet_T2_poorCGI_3_selfNormalising_0.7_20_7000	0.5595238095238095	0.42021276595744683	0.2642857142857143	0.875
Functional_wholeSet_T2_poorCGI_3_selfNormalising_0.7_80_7000	0.596003370651258	0.601063829787234	0.5213675213675214	0.7323943661971831
Functional_wholeSet_T2_poorCGI_3_deepFeedForwardLeakyReLU_0.7_20_7000	0.6193365173615594	0.5531914893617021	0.4330708661417323	0.8032786885245902
Functional_wholeSet_T2_poorCGI_3_deepFeedForwardLeakyReLU_0.7_80_7000	0.6837485478249646	0.5638297872340425	0.3937007874015748	0.9180327868852459
Functional_wholeSet_T2_poorCGI_3_deepFeedForwardTanH_0.7_20_7000	0.6382356382356382	0.6223404255319149	0.5585585585585585	0.7142857142857143
Functional_wholeSet_T2_poorCGI_3_deepFeedForwardTanH_0.7_80_7000	0.6583193494255841	0.6914893617021277	0.7795275590551181	0.5081967213114754
Functional_wholeSet_T2_poorCGI_5_selfNormalising_0.7_20_7000	0.5734603174603174	0.6542553191489362	0.792	0.38095238095238093
Functional_wholeSet_T2_poorCGI_5_selfNormalising_0.7_80_7000	0.5220125786163522	0.574468085106383	0.6074074074074074	0.49056603773584906
Functional_wholeSet_T2_poorCGI_5_deepFeedForwardLeakyReLU_0.7_20_7000	0.40424739195230996	0.35638297872340424	0.00819672131147541	1.0
Functional_wholeSet_T2_poorCGI_5_deepFeedForwardLeakyReLU_0.7_80_7000	0.6688428059395801	0.6063829787234043	0.5	0.8225806451612904
Functional_wholeSet_T2_poorCGI_5_deepFeedForwardTanH_0.7_20_7000	0.5988223246287763	0.5	0.3253968253968254	0.8548387096774194
Functional_wholeSet_T2_poorCGI_5_deepFeedForwardTanH_0.7_80_7000	0.6532700036536353	0.5585106382978723	0.3445378151260504	0.927536231884058
mean	0.611	0.561	0.455	0.778
CI	[0.5772739817848613, 0.6447755367261103]	[0.5196237015189873, 0.6021257074644641]	[0.36452155865792024, 0.5464711462637579]	[0.6950298354234796, 0.8615108350539051]
