	evalAuroc	evalAcc	evalSens	evalSpec
Structural_explainedReduced_T2_poorCGI_1_selfNormalising_0.7_20_7000	0.5728540462427745	0.5421245421245421	0.49710982658959535	0.62
Structural_explainedReduced_T2_poorCGI_1_selfNormalising_0.7_80_7000	0.6490260122410547	0.5970695970695971	0.5112994350282486	0.7552083333333334
Structural_explainedReduced_T2_poorCGI_1_deepFeedForwardLeakyReLU_0.7_20_7000	0.6666162113070461	0.6611721611721612	0.7205479452054795	0.5414364640883977
Structural_explainedReduced_T2_poorCGI_1_deepFeedForwardLeakyReLU_0.7_80_7000	0.6758348512446873	0.6153846153846154	0.5273224043715847	0.7944444444444444
Structural_explainedReduced_T2_poorCGI_1_deepFeedForwardTanH_0.7_20_7000	0.6536836957005023	0.6483516483516484	0.6946778711484594	0.5608465608465608
Structural_explainedReduced_T2_poorCGI_1_deepFeedForwardTanH_0.7_80_7000	0.611965644245864	0.5787545787545788	0.532967032967033	0.6703296703296703
Structural_explainedReduced_T2_poorCGI_3_selfNormalising_0.7_20_7000	0.6289034132171387	0.5402930402930403	0.3641456582633053	0.873015873015873
Structural_explainedReduced_T2_poorCGI_3_selfNormalising_0.7_80_7000	0.6967259610489726	0.6923076923076923	0.7707736389684814	0.5532994923857868
Structural_explainedReduced_T2_poorCGI_3_deepFeedForwardLeakyReLU_0.7_20_7000	0.6864873294346978	0.6336996336996337	0.616	0.672514619883041
Structural_explainedReduced_T2_poorCGI_3_deepFeedForwardLeakyReLU_0.7_80_7000	0.6728825720566682	0.5915750915750916	0.5027173913043478	0.7752808988764045
Structural_explainedReduced_T2_poorCGI_3_deepFeedForwardTanH_0.7_20_7000	0.679310293057891	0.6410256410256411	0.643646408839779	0.6358695652173914
Structural_explainedReduced_T2_poorCGI_3_deepFeedForwardTanH_0.7_80_7000	0.6274619883040936	0.6263736263736264	0.632	0.6140350877192983
Structural_explainedReduced_T2_poorCGI_5_selfNormalising_0.7_20_7000	0.5941474503744205	0.5769230769230769	0.5418994413407822	0.6436170212765957
Structural_explainedReduced_T2_poorCGI_5_selfNormalising_0.7_80_7000	0.6285658372096523	0.6373626373626373	0.699724517906336	0.5136612021857924
Structural_explainedReduced_T2_poorCGI_5_deepFeedForwardLeakyReLU_0.7_20_7000	0.6159165852467025	0.6227106227106227	0.6847826086956522	0.4943820224719101
Structural_explainedReduced_T2_poorCGI_5_deepFeedForwardLeakyReLU_0.7_80_7000	0.6689373297002725	0.6282051282051282	0.6130790190735694	0.659217877094972
Structural_explainedReduced_T2_poorCGI_5_deepFeedForwardTanH_0.7_20_7000	0.6719412911363376	0.6282051282051282	0.5614035087719298	0.7401960784313726
Structural_explainedReduced_T2_poorCGI_5_deepFeedForwardTanH_0.7_80_7000	0.6678289783427496	0.6117216117216118	0.5480225988700564	0.7291666666666666
mean	0.648	0.615	0.592	0.658
CI	[0.631203748529457, 0.6653617503718234]	[0.5958002204140393, 0.634562009948191]	[0.5421771474064289, 0.6425027756318643]	[0.6061371326111831, 0.710143076085207]
