	evalAuroc	evalAcc	evalSens	evalSpec
Structural_sharpe2010Set_T2_poorCGI__CV_0	0.6891129032258065	0.6593406593406593	0.6583333333333333	0.6612903225806451
Structural_sharpe2010Set_T2_poorCGI__CV_1	0.5794938351719663	0.5604395604395604	0.4782608695652174	0.7014925373134329
Structural_sharpe2010Set_T2_poorCGI__CV_2	0.6224088876845956	0.6923076923076923	0.8264462809917356	0.4262295081967213
Structural_sharpe2010Set_T2_poorCGI__CV_3	0.62275600505689	0.6010928961748634	0.5663716814159292	0.6571428571428571
Structural_sharpe2010Set_T2_poorCGI__CV_4	0.6828267282288061	0.6208791208791209	0.5132743362831859	0.7971014492753623
Structural_sharpe2010Set_T2_poorCGI__CV_5	0.6877648305084745	0.6428571428571429	0.559322033898305	0.796875
Structural_sharpe2010Set_T2_poorCGI__CV_6	0.65210027100271	0.6120218579234973	0.5934959349593496	0.65
Structural_sharpe2010Set_T2_poorCGI__CV_7	0.6516439909297052	0.6703296703296703	0.7063492063492064	0.5892857142857143
Structural_sharpe2010Set_T2_poorCGI__CV_8	0.6954918032786884	0.6428571428571429	0.6147540983606558	0.7
Structural_sharpe2010Set_T2_poorCGI__CV_9	0.6470170454545455	0.5136612021857924	0.359375	0.8727272727272727
mean	0.653	0.622	0.588	0.685
CI	[0.6264018522566764, 0.6797214078517614]	[0.5834215359944683, 0.6597358530645598]	[0.49594429802112155, 0.6792522570102622]	[0.5961508923950731, 0.7742780399093279]
