	evalAuroc	evalAcc	evalSens	evalSpec
Structural_sharpe2010Set_T2_poorCGI_1_selfNormalising_0.7_20_7000	0.6534552243228826	0.6489945155393053	0.7158774373259053	0.5212765957446809
Structural_sharpe2010Set_T2_poorCGI_1_selfNormalising_0.7_80_7000	0.6482403100775194	0.6051188299817185	0.5893333333333334	0.6395348837209303
Structural_sharpe2010Set_T2_poorCGI_1_deepFeedForwardLeakyReLU_0.7_20_7000	0.6598773841961854	0.5850091407678245	0.49318801089918257	0.7722222222222223
Structural_sharpe2010Set_T2_poorCGI_1_deepFeedForwardLeakyReLU_0.7_80_7000	0.6326552962822347	0.6142595978062158	0.5750708215297451	0.6855670103092784
Structural_sharpe2010Set_T2_poorCGI_1_deepFeedForwardTanH_0.7_20_7000	0.6567363101291177	0.5978062157221207	0.5415549597855228	0.7183908045977011
Structural_sharpe2010Set_T2_poorCGI_1_deepFeedForwardTanH_0.7_80_7000	0.6463689040531797	0.6069469835466179	0.5814606741573034	0.6544502617801047
Structural_sharpe2010Set_T2_poorCGI_3_selfNormalising_0.7_20_7000	0.6048118702043079	0.5630712979890311	0.5040214477211796	0.6896551724137931
Structural_sharpe2010Set_T2_poorCGI_3_selfNormalising_0.7_80_7000	0.5786569479816164	0.49725776965265084	0.3107344632768362	0.8393782383419689
Structural_sharpe2010Set_T2_poorCGI_3_deepFeedForwardLeakyReLU_0.7_20_7000	0.6610094711453615	0.6069469835466179	0.5365168539325843	0.7382198952879581
Structural_sharpe2010Set_T2_poorCGI_3_deepFeedForwardLeakyReLU_0.7_80_7000	0.633146371323634	0.5685557586837294	0.4310850439882698	0.7961165048543689
Structural_sharpe2010Set_T2_poorCGI_3_deepFeedForwardTanH_0.7_20_7000	0.675806916426513	0.6252285191956124	0.5706051873198847	0.72
Structural_sharpe2010Set_T2_poorCGI_3_deepFeedForwardTanH_0.7_80_7000	0.6285091185855215	0.603290676416819	0.6129943502824858	0.5854922279792746
Structural_sharpe2010Set_T2_poorCGI_5_selfNormalising_0.7_20_7000	0.5451979493865939	0.5904936014625228	0.6852367688022284	0.4095744680851064
Structural_sharpe2010Set_T2_poorCGI_5_selfNormalising_0.7_80_7000	0.5615845049708806	0.4680073126142596	0.2640449438202247	0.8481675392670157
Structural_sharpe2010Set_T2_poorCGI_5_deepFeedForwardLeakyReLU_0.7_20_7000	0.5608613381774145	0.5082266910420475	0.3896457765667575	0.75
Structural_sharpe2010Set_T2_poorCGI_5_deepFeedForwardLeakyReLU_0.7_80_7000	0.5961299116932377	0.5155393053016454	0.3955431754874652	0.7446808510638298
Structural_sharpe2010Set_T2_poorCGI_5_deepFeedForwardTanH_0.7_20_7000	0.6371446971692866	0.6069469835466179	0.5903954802259888	0.6373056994818653
Structural_sharpe2010Set_T2_poorCGI_5_deepFeedForwardTanH_0.7_80_7000	0.6125877258473944	0.6398537477148081	0.7320441988950276	0.4594594594594595
mean	0.622	0.581	0.529	0.678
CI	[0.6023518639772328, 0.6412903862419764]	[0.5552072946514022, 0.606076475407505]	[0.46408079717202727, 0.5936250836446308]	[0.6178440241313942, 0.7387661797141124]
