	evalAuroc	evalAcc	evalSens	evalSpec
Structural_wholeSet+T1_wholeSet_T2_poorCGI__CV_0	0.7942028985507248	0.7431192660550459	0.7246376811594203	0.775
Structural_wholeSet+T1_wholeSet_T2_poorCGI__CV_1	0.7175703500343171	0.6880733944954128	0.7741935483870968	0.574468085106383
Structural_wholeSet+T1_wholeSet_T2_poorCGI__CV_2	0.7036231884057971	0.6513761467889908	0.5217391304347826	0.875
Structural_wholeSet+T1_wholeSet_T2_poorCGI__CV_3	0.6659559346126511	0.6788990825688074	0.7611940298507462	0.5476190476190477
Structural_wholeSet+T1_wholeSet_T2_poorCGI__CV_4	0.649024024024024	0.6605504587155964	0.6944444444444444	0.5945945945945946
Structural_wholeSet+T1_wholeSet_T2_poorCGI__CV_5	0.6612305411415864	0.6697247706422018	0.7183098591549296	0.5789473684210527
Structural_wholeSet+T1_wholeSet_T2_poorCGI__CV_6	0.7219873150105709	0.6788990825688074	0.6363636363636364	0.7441860465116279
Structural_wholeSet+T1_wholeSet_T2_poorCGI__CV_7	0.7050724637681159	0.6972477064220184	0.7246376811594203	0.65
Structural_wholeSet+T1_wholeSet_T2_poorCGI__CV_8	0.7605633802816901	0.7339449541284404	0.7323943661971831	0.7368421052631579
Structural_wholeSet+T1_wholeSet_T2_poorCGI__CV_9	0.6421428571428571	0.6363636363636364	0.6428571428571429	0.625
mean	0.702	0.684	0.693	0.67
CI	[0.6668209767316793, 0.7374536138627874]	[0.6595954001188563, 0.7080442996309352]	[0.6394961689747528, 0.7466581350270077]	[0.5934425476765862, 0.7468889018265866]
