	evalAuroc	evalAcc	evalSens	evalSpec
Structural_wholeSet_T2_poorCGI__CV_0	0.6863636363636363	0.6257668711656442	0.5462962962962963	0.7818181818181819
Structural_wholeSet_T2_poorCGI__CV_1	0.5878422425032594	0.6012269938650306	0.5769230769230769	0.6440677966101694
Structural_wholeSet_T2_poorCGI__CV_2	0.6851676154332701	0.6707317073170732	0.7058823529411765	0.6129032258064516
Structural_wholeSet_T2_poorCGI__CV_3	0.6977507029053421	0.6441717791411042	0.5876288659793815	0.7272727272727273
Structural_wholeSet_T2_poorCGI__CV_4	0.7128329297820823	0.6463414634146342	0.5619047619047619	0.7966101694915254
Structural_wholeSet_T2_poorCGI__CV_5	0.6478260869565217	0.6073619631901841	0.5478260869565217	0.75
Structural_wholeSet_T2_poorCGI__CV_6	0.700328407224959	0.6441717791411042	0.6	0.7241379310344828
Structural_wholeSet_T2_poorCGI__CV_7	0.6499674690956408	0.6890243902439024	0.8301886792452831	0.43103448275862066
Structural_wholeSet_T2_poorCGI__CV_8	0.6545868347338936	0.6441717791411042	0.6696428571428571	0.5882352941176471
Structural_wholeSet_T2_poorCGI__CV_9	0.6530578783407116	0.5792682926829268	0.48598130841121495	0.7543859649122807
mean	0.668	0.635	0.611	0.681
CI	[0.6413091043339928, 0.6938356563338707]	[0.6117732382173606, 0.6586741656431809]	[0.5402780386658523, 0.6821768184942616]	[0.6002651628141191, 0.7618279919502984]
