	evalAuroc	evalAcc	evalSens	evalSpec
Structural_wholeSet_T2_poorCGI_1_selfNormalising_0.7_20_7000	0.613333333	0.567346939	0.514285714	0.662857143
Structural_wholeSet_T2_poorCGI_1_selfNormalising_0.7_80_7000	0.645083058	0.569387755	0.429022082	0.826589595
Structural_wholeSet_T2_poorCGI_1_deepFeedForwardLeakyReLU_0.7_20_7000	0.632770221	0.63877551	0.685534591	0.552325581
Structural_wholeSet_T2_poorCGI_1_deepFeedForwardLeakyReLU_0.7_80_7000	0.651355737	0.655102041	0.744479495	0.49132948
Structural_wholeSet_T2_poorCGI_1_deepFeedForwardTanH_0.7_20_7000	0.644428839	0.640816327	0.657051282	0.612359551
Structural_wholeSet_T2_poorCGI_1_deepFeedForwardTanH_0.7_80_7000	0.651928486	0.644897959	0.641337386	0.652173913
Structural_wholeSet_T2_poorCGI_3_selfNormalising_0.7_20_7000	0.629552435	0.563265306	0.446540881	0.779069767
Structural_wholeSet_T2_poorCGI_3_selfNormalising_0.7_80_7000	0.639928344	0.585714286	0.512738854	0.715909091
Structural_wholeSet_T2_poorCGI_3_deepFeedForwardLeakyReLU_0.7_20_7000	0.626103546	0.567346939	0.5	0.701219512
Structural_wholeSet_T2_poorCGI_3_deepFeedForwardLeakyReLU_0.7_80_7000	0.657788625	0.56122449	0.384868421	0.849462366
Structural_wholeSet_T2_poorCGI_3_deepFeedForwardTanH_0.7_20_7000	0.680837273	0.648979592	0.656626506	0.632911392
Structural_wholeSet_T2_poorCGI_3_deepFeedForwardTanH_0.7_80_7000	0.67156156	0.695918367	0.80781759	0.508196721
Structural_wholeSet_T2_poorCGI_5_selfNormalising_0.7_20_7000	0.591777649	0.634693878	0.805732484	0.329545455
Structural_wholeSet_T2_poorCGI_5_selfNormalising_0.7_80_7000	0.588373948	0.571428571	0.567213115	0.578378378
Structural_wholeSet_T2_poorCGI_5_deepFeedForwardLeakyReLU_0.7_20_7000	0.623549755	0.597959184	0.546296296	0.698795181
Structural_wholeSet_T2_poorCGI_5_deepFeedForwardLeakyReLU_0.7_80_7000	0.685830492	0.624489796	0.565359477	0.722826087
Structural_wholeSet_T2_poorCGI_5_deepFeedForwardTanH_0.7_20_7000	0.669796499	0.659183673	0.702453988	0.573170732
Structural_wholeSet_T2_poorCGI_5_deepFeedForwardTanH_0.7_80_7000	0.695512821	0.710204082	0.814102564	0.528089888
mean	0.644	0.619	0.61	0.634
CI	"[0.6294779885987788, 0.659356747060934]"	"[0.5952211209386423, 0.6421938450477521]"	"[0.5434101122611316, 0.676752190581147]"	"[0.5700092514228404, 0.6983473966668595]"
