		1.0	2.0
Gender	N	716	1865
Gender	i	(1.0, 2.0)	(1.0, 2.0)
Gender	N(i)	(226, 490)	(838, 1027)
Gender	%	(0.31564245810055863, 0.6843575418994413)	(0.44932975871313674, 0.5506702412868633)
T0_NegExpectation	N	713	1863
T0_NegExpectation	i	(0.0, 1.0)	(0.0, 1.0)
T0_NegExpectation	N(i)	(437, 276)	(1021, 842)
T0_NegExpectation	%	(0.6129032258064516, 0.3870967741935484)	(0.548040794417606, 0.451959205582394)
Diagnosis	N	716	1865
Diagnosis	i	(1.0, 2.0)	(3.0, 4.0)
Diagnosis	N(i)	(280, 436)	(632, 1233)
Diagnosis	%	(0.39106145251396646, 0.6089385474860335)	(0.3388739946380697, 0.6611260053619303)
T0_SIMD04_bin	N	716	1865
T0_SIMD04_bin	i	(False, True)	(False, True)
T0_SIMD04_bin	N(i)	(595, 121)	(1577, 288)
T0_SIMD04_bin	%	(0.8310055865921788, 0.16899441340782123)	(0.8455764075067024, 0.1544235924932976)
