		1.0	2.0
Age	N	716.0	1865.0
Age	Mean	45.94869971217875	49.86389358364062
Age	SD	14.031757602640457	16.58713284705049
T0_PHQ13_Total	N	713.0	1858.0
T0_PHQ13_Total	Mean	5.447405329593268	4.083961248654467
T0_PHQ13_Total	SD	3.105874666438303	2.819932709739401
T0_SF12_MCS	N	715.0	1862.0
T0_SF12_MCS	Mean	-40.003645762237745	-35.86593875939851
T0_SF12_MCS	SD	18.17046503228571	18.82121328283481
T0_SF12_PCS	N	716.0	1862.0
T0_SF12_PCS	Mean	-26.91928295251395	-24.2850967293233
T0_SF12_PCS	SD	15.462958392488755	15.525779537857108
T0_HADS	N	714.0	1853.0
T0_HADS	Mean	13.27450980392157	10.542903399892067
T0_HADS	SD	8.67830847447615	7.4756566481919835
T0_Satisfaction_Total	N	712.0	1857.0
T0_Satisfaction_Total	Mean	29.109550561797754	30.350565428109853
T0_Satisfaction_Total	SD	6.267754535274832	5.7015756058453295
