		False	True
Age	N	1194.0	2587.0
Age	Mean	41.789511096465695	48.40281860008497
Age	SD	15.71133503710512	16.211573040581822
T0_PHQ13_Total	N	1186.0	2577.0
T0_PHQ13_Total	Mean	4.987352445193929	4.483119906868452
T0_PHQ13_Total	SD	3.136932615387755	2.985180511252664
T0_SF12_MCS	N	1191.0	2584.0
T0_SF12_MCS	Mean	-40.2765270277078	-37.60506151315798
T0_SF12_MCS	SD	18.83535768584807	18.734920651403577
T0_SF12_PCS	N	1191.0	2585.0
T0_SF12_PCS	Mean	-25.22831295382028	-25.07167266769829
T0_SF12_PCS	SD	15.522369997751163	15.554638959463913
T0_HADS	N	1179.0	2576.0
T0_HADS	Mean	13.111959287531807	11.39052795031056
T0_HADS	SD	8.935498983449707	7.894821428700153
T0_Satisfaction_Total	N	1179.0	2576.0
T0_Satisfaction_Total	Mean	29.19423240033927	30.17197204968944
T0_Satisfaction_Total	SD	6.377919836702053	5.864449961610058
