		1.0	2.0	3.0	4.0
T0_Sat1	N	445	693	937	1694
T0_Sat1	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T0_Sat1	N(i)	(11, 57, 118, 128, 131)	(16, 44, 141, 272, 220)	(10, 49, 209, 360, 309)	(8, 79, 323, 648, 636)
T0_Sat1	%	(0.024719101123595506, 0.12808988764044943, 0.2651685393258427, 0.2876404494382023, 0.2943820224719101)	(0.023088023088023088, 0.06349206349206349, 0.20346320346320346, 0.3924963924963925, 0.31746031746031744)	(0.010672358591248666, 0.052294557097118465, 0.22305229455709713, 0.384204909284952, 0.3297758804695838)	(0.004722550177095631, 0.046635182998819365, 0.19067296340023612, 0.3825265643447462, 0.3754427390791027)
T0_Sat2	N	446	696	937	1695
T0_Sat2	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T0_Sat2	N(i)	(8, 29, 88, 147, 174)	(11, 23, 102, 281, 279)	(6, 36, 136, 310, 449)	(7, 44, 211, 595, 838)
T0_Sat2	%	(0.017937219730941704, 0.06502242152466367, 0.19730941704035873, 0.3295964125560538, 0.3901345291479821)	(0.015804597701149427, 0.033045977011494254, 0.14655172413793102, 0.40373563218390807, 0.40086206896551724)	(0.0064034151547491995, 0.0384204909284952, 0.14514407684098185, 0.33084311632870866, 0.4791889007470651)	(0.004129793510324484, 0.025958702064896755, 0.12448377581120944, 0.35103244837758113, 0.4943952802359882)
T0_Sat3	N	446	697	938	1696
T0_Sat3	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T0_Sat3	N(i)	(11, 24, 65, 140, 206)	(10, 24, 83, 232, 348)	(9, 32, 122, 280, 495)	(6, 38, 176, 549, 927)
T0_Sat3	%	(0.02466367713004484, 0.053811659192825115, 0.14573991031390135, 0.31390134529147984, 0.4618834080717489)	(0.014347202295552367, 0.03443328550932568, 0.11908177905308465, 0.3328550932568149, 0.49928263988522237)	(0.009594882729211088, 0.03411513859275053, 0.1300639658848614, 0.29850746268656714, 0.5277185501066098)	(0.003537735849056604, 0.02240566037735849, 0.10377358490566038, 0.32370283018867924, 0.5465801886792453)
T0_Sat4	N	446	696	938	1695
T0_Sat4	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T0_Sat4	N(i)	(133, 70, 88, 88, 67)	(189, 114, 124, 148, 121)	(234, 175, 183, 176, 170)	(427, 287, 339, 317, 325)
T0_Sat4	%	(0.2982062780269058, 0.15695067264573992, 0.19730941704035873, 0.19730941704035873, 0.15022421524663676)	(0.27155172413793105, 0.16379310344827586, 0.1781609195402299, 0.21264367816091953, 0.17385057471264367)	(0.24946695095948826, 0.1865671641791045, 0.19509594882729211, 0.18763326226012794, 0.1812366737739872)	(0.2519174041297935, 0.16932153392330385, 0.2, 0.18702064896755163, 0.19174041297935104)
T0_Sat5	N	446	697	938	1695
T0_Sat5	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T0_Sat5	N(i)	(56, 100, 135, 93, 62)	(83, 149, 204, 167, 94)	(100, 209, 318, 184, 127)	(189, 330, 551, 378, 247)
T0_Sat5	%	(0.12556053811659193, 0.2242152466367713, 0.30269058295964124, 0.2085201793721973, 0.13901345291479822)	(0.11908177905308465, 0.21377331420373027, 0.2926829268292683, 0.23959827833572453, 0.13486370157819225)	(0.10660980810234541, 0.22281449893390193, 0.3390191897654584, 0.19616204690831557, 0.13539445628997868)	(0.11150442477876106, 0.19469026548672566, 0.3250737463126844, 0.22300884955752212, 0.1457227138643068)
T0_Sat6	N	446	697	938	1696
T0_Sat6	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T0_Sat6	N(i)	(27, 70, 83, 132, 134)	(26, 113, 127, 208, 223)	(57, 149, 219, 239, 274)	(70, 210, 364, 488, 564)
