		1.0	2.0
T0_Sat1	N	1138	2631
T0_Sat1	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T0_Sat1	N(i)	(27, 101, 259, 400, 351)	(18, 128, 532, 1008, 945)
T0_Sat1	%	(0.023725834797891036, 0.08875219683655536, 0.22759226713532513, 0.351493848857645, 0.3084358523725835)	(0.0068415051311288486, 0.04865070315469403, 0.20220448498669708, 0.3831242873432155, 0.35917901938426455)
T0_Sat2	N	1142	2632
T0_Sat2	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T0_Sat2	N(i)	(19, 52, 190, 428, 453)	(13, 80, 347, 905, 1287)
T0_Sat2	%	(0.016637478108581436, 0.04553415061295972, 0.16637478108581435, 0.37478108581436076, 0.3966725043782837)	(0.004939209726443769, 0.030395136778115502, 0.13183890577507598, 0.3438449848024316, 0.4889817629179331)
T0_Sat3	N	1143	2634
T0_Sat3	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T0_Sat3	N(i)	(21, 48, 148, 372, 554)	(15, 70, 298, 829, 1422)
T0_Sat3	%	(0.01837270341207349, 0.04199475065616798, 0.1294838145231846, 0.32545931758530183, 0.4846894138232721)	(0.0056947608200455585, 0.026575550493545937, 0.11313591495823842, 0.31473044798785116, 0.5398633257403189)
T0_Sat4	N	1142	2633
T0_Sat4	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T0_Sat4	N(i)	(322, 184, 212, 236, 188)	(661, 462, 522, 493, 495)
T0_Sat4	%	(0.2819614711033275, 0.16112084063047286, 0.18563922942206654, 0.20665499124343256, 0.1646234676007005)	(0.25104443600455756, 0.17546524876566655, 0.1982529434105583, 0.18723889099886062, 0.187998480820357)
T0_Sat5	N	1143	2633
T0_Sat5	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T0_Sat5	N(i)	(139, 249, 339, 260, 156)	(289, 539, 869, 562, 374)
T0_Sat5	%	(0.1216097987751531, 0.2178477690288714, 0.29658792650918636, 0.2274715660542432, 0.13648293963254593)	(0.10976072920622863, 0.20470945689327763, 0.3300417774401823, 0.21344473984048615, 0.1420432966198253)
T0_Sat6	N	1143	2634
T0_Sat6	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T0_Sat6	N(i)	(53, 183, 210, 340, 357)	(127, 359, 583, 727, 838)
