		1.0	2.0
T0_Sat1	N	1138	2631
T0_Sat1	Mean	3.8321616871704745	4.039148612694793
T0_Sat1	SD	1.0379529962301184	0.903513987614256
T0_Sat1	CI	(3.77, 3.89)	(4.0, 4.07)
T0_Sat2	N	1142	2632
T0_Sat2	Mean	4.089316987740806	4.281534954407295
T0_Sat2	SD	0.9421894742980493	0.8413448264437899
T0_Sat2	CI	(4.03, 4.14)	(4.25, 4.31)
T0_Sat3	N	1143	2634
T0_Sat3	Mean	4.216097987751531	4.356492027334852
T0_Sat3	SD	0.9495246285180398	0.8268780454597057
T0_Sat3	CI	(4.16, 4.27)	(4.32, 4.39)
T0_Sat4	N	1142	2633
T0_Sat4	Mean	2.810858143607706	2.885681731864793
T0_Sat4	SD	1.4560898015217896	1.4514155915297324
T0_Sat4	CI	(2.73, 2.9)	(2.83, 2.94)
T0_Sat5	N	1143	2633
T0_Sat5	Mean	3.0393700787401574	3.073300417774402
T0_Sat5	SD	1.2154969674203067	1.1918627695597293
T0_Sat5	CI	(2.97, 3.11)	(3.03, 3.12)
T0_Sat6	N	1143	2634
T0_Sat6	Mean	3.6692913385826773	3.679574791192103
T0_Sat6	SD	1.2023736470109812	1.1901547521775064
T0_Sat6	CI	(3.6, 3.74)	(3.63, 3.73)
T0_Sat7	N	1143	2634
T0_Sat7	Mean	3.8661417322834644	3.9893697798025816
T0_Sat7	SD	1.0011025817536598	0.9414500927757231
T0_Sat7	CI	(3.81, 3.92)	(3.95, 4.03)
T0_Sat8	N	1140	2629
T0_Sat8	Mean	3.533333333333333	3.898060098896919
T0_Sat8	SD	1.2158354246870373	1.0621264866803315
T0_Sat8	CI	(3.46, 3.6)	(3.86, 3.94)
T1_Sat1	N	733	1832
T1_Sat1	Mean	3.5375170532060025	3.7352620087336246
T1_Sat1	SD	1.095331799068356	1.002073784780926
T1_Sat1	CI	(3.46, 3.62)	(3.69, 3.78)
T1_Sat2	N	735	1832
T1_Sat2	Mean	3.7387755102040816	3.9574235807860263
T1_Sat2	SD	1.094851026880624	0.98394513465853
T1_Sat2	CI	(3.66, 3.82)	(3.91, 4.0)
T1_Sat3	N	739	1845
T1_Sat3	Mean	3.8430311231393777	4.067750677506775
T1_Sat3	SD	1.1200268642031816	0.9608754045195765
T1_Sat3	CI	(3.76, 3.92)	(4.02, 4.11)
T1_Sat4	N	737	1828
T1_Sat4	Mean	2.683853459972863	2.7341356673960613
T1_Sat4	SD	1.4129341657549777	1.3587056234463448
T1_Sat4	CI	(2.58, 2.79)	(2.67, 2.8)
T1_Sat5	N	738	1834
T1_Sat5	Mean	2.9186991869918697	2.925845147219193
T1_Sat5	SD	1.1885489090135848	1.1451920271564215
T1_Sat5	CI	(2.83, 3.0)	(2.87, 2.98)
T1_Sat6	N	709	1813
T1_Sat6	Mean	3.521861777150917	3.5697738554881413
T1_Sat6	SD	1.0962900602129424	1.081252954233162
T1_Sat6	CI	(3.44, 3.6)	(3.52, 3.62)
T1_Sat7	N	730	1829
T1_Sat7	Mean	3.5465753424657533	3.6971022416621104
T1_Sat7	SD	1.07146326260974	1.0179447484395792
T1_Sat7	CI	(3.47, 3.62)	(3.65, 3.74)
T1_Sat8	N	723	1802
T1_Sat8	Mean	2.936376210235131	3.3496115427302997
T1_Sat8	SD	1.325790051226769	1.2556910377463344
T1_Sat8	CI	(2.84, 3.03)	(3.29, 3.41)
