		N	N_poorCGI	P_poorCGI	Total	N_Total_poorCGI	P_Total_poorCGI
T0_Sat1	1.0	11	8	0.7272727272727273	1861	1226	0.6587855991402471
T0_Sat1	2.0	84	64	0.7619047619047619	1861	1226	0.6587855991402471
T0_Sat1	3.0	342	230	0.672514619883041	1861	1226	0.6587855991402471
T0_Sat1	4.0	733	474	0.6466575716234653	1861	1226	0.6587855991402471
T0_Sat1	5.0	691	450	0.6512301013024602	1861	1226	0.6587855991402471
T0_Sat2	1.0	5	4	0.8	1861	1226	0.6587855991402471
T0_Sat2	2.0	53	38	0.7169811320754716	1861	1226	0.6587855991402471
T0_Sat2	3.0	221	154	0.6968325791855203	1861	1226	0.6587855991402471
T0_Sat2	4.0	655	417	0.6366412213740458	1861	1226	0.6587855991402471
T0_Sat2	5.0	927	613	0.6612729234088457	1861	1226	0.6587855991402471
T0_Sat3	1.0	8	7	0.875	1862	1227	0.658968850698174
T0_Sat3	2.0	44	29	0.6590909090909091	1862	1227	0.658968850698174
T0_Sat3	3.0	199	127	0.6381909547738693	1862	1227	0.658968850698174
T0_Sat3	4.0	588	391	0.6649659863945578	1862	1227	0.658968850698174
T0_Sat3	5.0	1023	673	0.6578690127077224	1862	1227	0.658968850698174
T0_Sat4	1.0	494	345	0.6983805668016194	1861	1227	0.6593229446534121
T0_Sat4	2.0	328	215	0.6554878048780488	1861	1227	0.6593229446534121
T0_Sat4	3.0	357	225	0.6302521008403361	1861	1227	0.6593229446534121
T0_Sat4	4.0	347	218	0.6282420749279539	1861	1227	0.6593229446534121
T0_Sat4	5.0	335	224	0.6686567164179105	1861	1227	0.6593229446534121
T0_Sat5	1.0	201	157	0.7810945273631841	1862	1227	0.658968850698174
T0_Sat5	2.0	398	267	0.6708542713567839	1862	1227	0.658968850698174
T0_Sat5	3.0	600	379	0.6316666666666667	1862	1227	0.658968850698174
T0_Sat5	4.0	408	260	0.6372549019607843	1862	1227	0.658968850698174
T0_Sat5	5.0	255	164	0.6431372549019608	1862	1227	0.658968850698174
T0_Sat6	1.0	86	55	0.6395348837209303	1862	1227	0.658968850698174
T0_Sat6	2.0	257	172	0.669260700389105	1862	1227	0.658968850698174
T0_Sat6	3.0	401	264	0.6583541147132169	1862	1227	0.658968850698174
T0_Sat6	4.0	526	339	0.6444866920152091	1862	1227	0.658968850698174
T0_Sat6	5.0	592	397	0.6706081081081081	1862	1227	0.658968850698174
T0_Sat7	1.0	11	7	0.6363636363636364	1862	1227	0.658968850698174
T0_Sat7	2.0	105	75	0.7142857142857143	1862	1227	0.658968850698174
T0_Sat7	3.0	393	262	0.6666666666666666	1862	1227	0.658968850698174
T0_Sat7	4.0	669	424	0.6337817638266069	1862	1227	0.658968850698174
T0_Sat7	5.0	684	459	0.6710526315789473	1862	1227	0.658968850698174
T0_Sat8	1.0	38	29	0.7631578947368421	1860	1226	0.6591397849462366
T0_Sat8	2.0	143	95	0.6643356643356644	1860	1226	0.6591397849462366
T0_Sat8	3.0	397	269	0.6775818639798489	1860	1226	0.6591397849462366
T0_Sat8	4.0	579	357	0.616580310880829	1860	1226	0.6591397849462366
T0_Sat8	5.0	703	476	0.6770981507823614	1860	1226	0.6591397849462366
