	label	valuelabels	values
Diagnosis	T0 Neurologist assigned explanation of symptoms by organic disease	['Not at all explained', 'Somewhat explained', 'Largely explained', 'Completely explained']	[1, 2, 3, 4]
T0_Sat1	T0 Satisfaction - The visit overall?	['Poor', 'Fair', 'Good', 'Very Good', 'Excellent']	[1, 2, 3, 4, 5]
T0_Sat2	T0 Satisfaction - The thoroughness, carefulness and competence of the doctor you saw?	['Poor', 'Fair', 'Good', 'Very Good', 'Excellent']	[1, 2, 3, 4, 5]
T0_Sat3	T0 Satisfaction - The personal manner (courtesy, respect, sensitivity, friendliness) of the doctor you saw?	['Poor', 'Fair', 'Good', 'Very Good', 'Excellent']	[1, 2, 3, 4, 5]
T0_Sat4	T0 Satisfaction - The length of time you waited between being referred by your doctor and seeing the neurologist today?	['Poor', 'Fair', 'Good', 'Very Good', 'Excellent']	[1, 2, 3, 4, 5]
T0_Sat5	T0 Satisfaction - Length of time spent waiting at the clinic today?	['Poor', 'Fair', 'Good', 'Very Good', 'Excellent']	[1, 2, 3, 4, 5]
T0_Sat6	T0 Satisfaction - Convenience of the location of the clinic?	['Poor', 'Fair', 'Good', 'Very Good', 'Excellent']	[1, 2, 3, 4, 5]
T0_Sat7	T0 Satisfaction - Time spent with the doctor you saw?	['Poor', 'Fair', 'Good', 'Very Good', 'Excellent']	[1, 2, 3, 4, 5]
T0_Sat8	T0 Satisfaction - Explanation given to you about the cause of your symptoms?	['Poor', 'Fair', 'Good', 'Very Good', 'Excellent']	[1, 2, 3, 4, 5]
T1_Sat1	T1(3 months) Satisfaction - The visit overall?	['Poor', 'Fair', 'Good', 'Very Good', 'Excellent']	[1, 2, 3, 4, 5]
T1_Sat2	T1(3 months) Satisfaction - The thoroughness, carefulness and competence of the doctor you saw?	['Poor', 'Fair', 'Good', 'Very Good', 'Excellent']	[1, 2, 3, 4, 5]
T1_Sat3	T1(3 months) Satisfaction - The personal manner (courtesy, respect, sensitivity, friendliness) of the doctor you saw?	['Poor', 'Fair', 'Good', 'Very Good', 'Excellent']	[1, 2, 3, 4, 5]
T1_Sat4	T1(3 months) Satisfaction - The length of time you waited between being referred by your doctor and seeing the neurologist today?	['Poor', 'Fair', 'Good', 'Very Good', 'Excellent']	[1, 2, 3, 4, 5]
T1_Sat5	T1(3 months) Satisfaction - Length of time spent waiting at the clinic today?	['Poor', 'Fair', 'Good', 'Very Good', 'Excellent']	[1, 2, 3, 4, 5]
T1_Sat6	T1(3 months) Satisfaction - Convenience of the location of the clinic?	['Poor', 'Fair', 'Good', 'Very Good', 'Excellent']	[1, 2, 3, 4, 5]
T1_Sat7	T1(3 months) Satisfaction - Time spent with the doctor you saw?	['Poor', 'Fair', 'Good', 'Very Good', 'Excellent']	[1, 2, 3, 4, 5]
T1_Sat8	T1(3 months) Satisfaction - Explanation given to you about the cause of your symptoms?	['Poor', 'Fair', 'Good', 'Very Good', 'Excellent']	[1, 2, 3, 4, 5]
T0_IPQ6	T0 IPQ Q6 - My doctor understands the cause of my symptoms	['Strongly Disagree', 'Disagree', 'Neither', 'Agree', 'Strongly Agree']	[1, 2, 3, 4, 5]
T1_IPQ6	T1(3 months) IPQ Q6 - My doctor understands the cause of my symptoms	['Strongly Disagree', 'Disagree', 'Neither', 'Agree', 'Strongly Agree']	[1, 2, 3, 4, 5]
T0_Wbelieve	T0 Whiteley Index - Is it hard for you to believe the doctor when he tells you there is nothing to worry about?	['No', 'Yes']	[0, 1]
T1_Wbelieve	T1(3 months) Whiteley Index - Is it hard for you to believe the doctor when he tells you there is nothing to worry about?	['No', 'Yes']	[0, 1]
T0_IPQ3	T0 IPQ Q3 - My symptoms are a mystery to me	['Strongly Disagree', 'Disagree', 'Neither', 'Agree', 'Strongly Agree']	[1, 2, 3, 4, 5]
T1_IPQ3	T1(3 months) IPQ Q3 - My symptoms are a mystery to me	['Strongly Disagree', 'Disagree', 'Neither', 'Agree', 'Strongly Agree']	[1, 2, 3, 4, 5]
T0_IPQ4	T0 IPQ Q4 - I get angry when I think about my symptoms	['Strongly Disagree', 'Disagree', 'Neither', 'Agree', 'Strongly Agree']	[1, 2, 3, 4, 5]
T1_IPQ4	T1(3 months) IPQ Q4 - I get angry when I think about my symptoms	['Strongly Disagree', 'Disagree', 'Neither', 'Agree', 'Strongly Agree']	[1, 2, 3, 4, 5]
T0_IPQ5	T0 IPQ Q5 - When I think about my symptoms I get upset	['Strongly Disagree', 'Disagree', 'Neither', 'Agree', 'Strongly Agree']	[1, 2, 3, 4, 5]
T1_IPQ5	T1(3 months) IPQ Q5 - When I think about my symptoms I get upset	['Strongly Disagree', 'Disagree', 'Neither', 'Agree', 'Strongly Agree']	[1, 2, 3, 4, 5]
