Generated by http://statistics.gov.scot,2018-07-27T10:33:24+00:00
http://statistics.gov.scot/data/scottish-index-multiple-deprivation,Scottish Index of Multiple Deprivation 2004-2012
measure type,Decile
Reference Period,2004
Measure (cell values): ,Decile(Decile)

,,http://statistics.gov.scot/def/concept/simd-domain/access-to-services,http://statistics.gov.scot/def/concept/simd-domain/education-skills-and-training,http://statistics.gov.scot/def/concept/simd-domain/employment,http://statistics.gov.scot/def/concept/simd-domain/health,http://statistics.gov.scot/def/concept/simd-domain/housing,http://statistics.gov.scot/def/concept/simd-domain/income,http://statistics.gov.scot/def/concept/simd-domain/simd
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,Access To Services,Education Skills And Training,Employment,Health,Housing,Income,SIMD
http://statistics.gov.scot/id/statistical-geography/S01000001,S01000001,7,10,8,8,7,7,9
http://statistics.gov.scot/id/statistical-geography/S01000002,S01000002,5,6,10,10,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000003,S01000003,5,7,10,9,8,9,10
http://statistics.gov.scot/id/statistical-geography/S01000004,S01000004,3,7,10,10,9,10,10
http://statistics.gov.scot/id/statistical-geography/S01000005,S01000005,5,9,10,7,8,9,10
http://statistics.gov.scot/id/statistical-geography/S01000006,S01000006,9,8,7,6,7,5,7
http://statistics.gov.scot/id/statistical-geography/S01000007,S01000007,8,10,9,8,10,8,10
http://statistics.gov.scot/id/statistical-geography/S01000008,S01000008,6,6,8,7,6,6,7
http://statistics.gov.scot/id/statistical-geography/S01000009,S01000009,7,5,8,7,7,8,8
http://statistics.gov.scot/id/statistical-geography/S01000010,S01000010,4,8,10,7,8,9,9
http://statistics.gov.scot/id/statistical-geography/S01000011,S01000011,3,10,10,9,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000012,S01000012,3,7,9,8,9,9,9
http://statistics.gov.scot/id/statistical-geography/S01000013,S01000013,3,6,9,8,6,8,8
http://statistics.gov.scot/id/statistical-geography/S01000014,S01000014,4,6,9,7,7,9,8
http://statistics.gov.scot/id/statistical-geography/S01000015,S01000015,5,5,10,10,6,10,9
http://statistics.gov.scot/id/statistical-geography/S01000016,S01000016,2,10,10,9,9,10,10
http://statistics.gov.scot/id/statistical-geography/S01000017,S01000017,5,6,9,8,8,8,9
http://statistics.gov.scot/id/statistical-geography/S01000018,S01000018,5,4,8,7,6,9,8
http://statistics.gov.scot/id/statistical-geography/S01000019,S01000019,3,10,10,8,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000020,S01000020,6,10,3,7,8,5,6
http://statistics.gov.scot/id/statistical-geography/S01000021,S01000021,6,4,8,6,6,7,7
http://statistics.gov.scot/id/statistical-geography/S01000022,S01000022,3,10,10,10,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000023,S01000023,2,10,10,10,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000024,S01000024,1,10,10,8,8,9,9
http://statistics.gov.scot/id/statistical-geography/S01000025,S01000025,3,10,10,10,10,9,10
http://statistics.gov.scot/id/statistical-geography/S01000026,S01000026,8,3,4,3,4,3,4
http://statistics.gov.scot/id/statistical-geography/S01000027,S01000027,5,10,10,10,10,9,10
http://statistics.gov.scot/id/statistical-geography/S01000028,S01000028,8,3,5,4,4,4,4
http://statistics.gov.scot/id/statistical-geography/S01000029,S01000029,2,10,10,10,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000030,S01000030,7,3,5,3,2,3,4
http://statistics.gov.scot/id/statistical-geography/S01000031,S01000031,7,10,9,9,10,9,10
http://statistics.gov.scot/id/statistical-geography/S01000032,S01000032,7,4,6,6,4,6,6
http://statistics.gov.scot/id/statistical-geography/S01000033,S01000033,8,2,5,2,3,2,3
http://statistics.gov.scot/id/statistical-geography/S01000034,S01000034,4,10,6,10,10,10,9
http://statistics.gov.scot/id/statistical-geography/S01000035,S01000035,3,4,6,5,5,5,5
http://statistics.gov.scot/id/statistical-geography/S01000036,S01000036,2,3,5,4,5,5,4
http://statistics.gov.scot/id/statistical-geography/S01000037,S01000037,7,3,5,4,4,5,5
http://statistics.gov.scot/id/statistical-geography/S01000038,S01000038,7,4,6,6,4,7,6
http://statistics.gov.scot/id/statistical-geography/S01000039,S01000039,2,4,5,3,3,3,4
http://statistics.gov.scot/id/statistical-geography/S01000040,S01000040,9,3,5,5,4,5,5
http://statistics.gov.scot/id/statistical-geography/S01000041,S01000041,7,6,6,6,9,7,7
http://statistics.gov.scot/id/statistical-geography/S01000042,S01000042,9,4,6,4,5,5,5
http://statistics.gov.scot/id/statistical-geography/S01000043,S01000043,8,5,8,6,5,6,7
http://statistics.gov.scot/id/statistical-geography/S01000044,S01000044,7,2,3,3,3,3,3
http://statistics.gov.scot/id/statistical-geography/S01000045,S01000045,5,9,10,9,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000046,S01000046,5,10,10,10,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01000047,S01000047,8,5,5,4,2,5,5
http://statistics.gov.scot/id/statistical-geography/S01000048,S01000048,8,10,10,9,9,10,10
http://statistics.gov.scot/id/statistical-geography/S01000049,S01000049,7,10,10,9,10,9,10
http://statistics.gov.scot/id/statistical-geography/S01000050,S01000050,8,10,8,6,9,7,8
http://statistics.gov.scot/id/statistical-geography/S01000051,S01000051,4,9,9,8,10,10,10
