	N
AB10	22008
AB11	21187
AB12	25554
AB13	2640
AB14	5060
AB15	35627
AB16	29245
AB21	22332
AB22	16331
AB23	11267
AB24	36297
AB25	18397
AB30	7229
AB31	15330
AB32	12890
AB33	5340
AB34	5374
AB35	2643
AB36	471
AB37	1519
AB38	4627
AB39	17651
AB41	20773
AB42	33749
AB43	23998
AB44	4009
AB45	11024
AB51	34604
AB52	4808
AB53	12557
AB54	11507
AB55	9331
AB56	14930
DD1	64544
DD10	21949
DD11	28876
DD2	41829
DD3	36985
DD4	43750
DD5	32020
DD6	9334
DD7	12301
DD8	29104
DD9	11024
DG1	65316
DG10	3962
DG11	13301
DG12	13137
DG13	2958
DG14	1400
DG16	3984
DG2	24374
DG3	4824
DG4	4660
DG5	5311
DG6	5188
DG7	12172
DG8	12980
DG9	16349
EH1	256872
EH10	33341
EH11	39292
EH12	38611
EH13	14633
EH14	39662
EH15	20681
EH16	29566
EH17	18572
EH18	2187
EH19	13904
EH2	100777
EH20	6294
EH21	25287
EH22	29495
EH23	7999
EH24	1677
EH25	2899
EH26	17123
EH27	2845
EH28	2659
EH29	3660
EH3	85849
EH30	9479
EH31	2568
EH32	19054
EH33	14041
EH34	2540
EH35	2221
EH36	383
EH37	1630
EH38	406
EH39	8816
EH4	176821
EH40	2111
EH41	11969
EH42	10810
EH43	848
EH44	3369
EH45	10563
EH46	3376
EH47	26798
EH48	36266
EH49	16851
EH5	127999
EH51	15098
EH52	19855
EH53	9815
EH54	54858
EH55	8826
EH6	39129
EH7	34235
EH8	24141
EH9	23115
FK1	101399
FK10	37217
FK11	2804
FK12	4773
FK13	6129
FK14	4134
FK15	10728
FK16	1934
FK17	3666
FK18	236
FK19	549
FK2	48252
FK20	402
FK21	970
FK3	17373
FK4	13545
FK5	19187
FK6	13345
FK7	31343
FK8	18318
FK9	13838
G1	120954
G11	20953
G12	24177
G13	32918
G14	18585
G15	17037
G2	87651
G20	30852
G21	28925
G22	17982
G23	7135
G3	128060
G31	24406
G32	36178
G33	41385
G34	8425
G4	169470
G40	10995
G41	31200
G42	28033
G43	16648
G44	28366
G45	14821
G46	26534
G5	94256
G51	22259
G52	29689
G53	31411
G60	5478
G61	27521
G62	13703
G63	9314
G64	26401
G65	13345
G66	37982
G67	34860
G68	18433
G69	33501
G71	28391
G72	47610
G73	31178
G74	37128
G75	38145
G76	22388
G77	23913
G78	24063
G81	39060
G82	25547
G83	24433
G84	21834
HS1	5329
HS2	14329
HS3	1324
HS4	291
HS5	301
HS6	1619
HS7	1330
HS8	1897
HS9	1264
IV1	46744
IV10	2501
IV11	906
IV12	12791
IV13	631
IV14	2243
IV15	5887
IV16	1849
IV17	6387
IV18	6135
IV19	4933
IV2	64900
IV20	2988
IV21	1071
IV22	1436
IV23	830
IV24	1426
IV25	2478
IV26	1926
IV27	3721
IV28	458
IV3	81976
IV30	34045
IV31	7926
IV32	4800
IV36	15580
IV4	10044
IV40	2335
IV41	350
IV42	415
IV43	261
IV44	259
IV45	317
IV46	76
IV47	531
IV48	81
IV49	1104
IV5	9705
IV51	5142
IV52	385
IV53	153
IV54	1288
IV55	1209
IV56	268
IV6	7007
IV63	2480
IV7	5667
IV8	887
IV9	1314
KA1	145966
KA10	15752
KA11	20945
KA12	18647
KA13	17208
KA14	548
KA15	7166
KA16	3265
KA17	4100
KA18	21401
KA19	7709
KA2	77663
KA20	9418
KA21	12814
KA22	11182
KA23	5215
KA24	6252
KA25	7385
KA26	10793
KA27	4660
KA28	1376
KA29	1424
KA3	49759
KA30	11427
KA4	5318
KA5	10031
KA6	19471
KA7	28011
KA8	19094
KA9	16165
KW1	48764
KW10	1661
KW11	128
KW12	1666
KW13	91
KW14	12802
KW15	8365
KW16	3797
KW17	9187
KW2	74
KW3	1043
KW5	310
KW6	356
KW7	96
KW8	795
KW9	1765
KY1	198013
KY10	8806
KY11	60574
KY12	39157
KY13	10769
KY14	6927
KY15	21702
KY16	24843
KY2	30661
KY3	11022
KY4	21230
KY5	20167
KY6	18846
KY7	27981
KY8	34442
KY9	1876
ML1	107707
ML10	10522
ML11	34893
ML12	8417
ML2	40729
ML3	51644
ML4	22991
ML5	46774
ML6	55248
ML7	15660
ML8	19240
ML9	23324
PA1	119437
PA10	3821
PA11	5913
PA12	3414
PA13	4492
PA14	16503
PA15	17550
PA16	29132
PA17	2234
PA18	2592
PA19	11533
PA2	71634
PA20	6498
PA21	777
PA22	287
PA23	12620
PA24	429
PA25	78
PA26	143
PA27	674
PA28	7364
PA29	2150
PA3	47776
PA30	1464
PA31	4949
PA32	1305
PA33	754
PA34	10692
PA35	1295
PA36	52
PA37	2854
PA38	822
PA4	26643
PA41	163
PA42	1179
PA43	784
PA44	275
PA45	122
PA46	183
PA47	177
PA48	340
PA49	168
PA5	22565
PA6	7708
PA60	196
PA61	132
PA64	82
PA65	209
PA66	164
PA67	275
PA7	8353
PA70	129
PA72	432
PA73	119
PA75	1409
PA76	177
PA77	653
PA78	195
PA8	15831
PA80	294
PA9	1744
PH1	74954
PH10	11050
PH11	3405
PH12	2096
PH13	4038
PH14	1777
PH15	3545
PH16	3947
PH17	224
PH18	767
PH19	95
PH2	48213
PH20	1466
